caldt,b30ret,b30ind,b20ret,b20ind,b10ret,b10ind,b7ret,b7ind,b5ret,b5ind,b2ret,b2ind,b1ret,b1ind,t90ret,t90ind,t30ret,t30ind,cpiret,cpiind
1925-12-31,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,,34.836930,,38.910820,,42.1
1926-03-31,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.010090,35.188430,0.008521,39.242380,-0.005587,41.9
1926-06-30,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.008519,35.488240,0.006886,39.512620,-0.005618,41.6
1926-09-30,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.006599,35.722450,0.007069,39.791920,-0.011299,41.2
1926-12-31,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.010345,36.091970,0.009093,40.153750,0.011428,41.6
1927-03-31,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.006911,36.341430,0.008013,40.475510,-0.022598,40.7
1927-06-30,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.008821,36.662000,0.008159,40.805740,0.017340,41.4
1927-09-30,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.008071,36.957910,0.007864,41.126640,-0.017045,40.7
1927-12-31,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.006762,37.207830,0.006852,41.408430,-0.000000,40.7
1928-03-31,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.007956,37.503840,0.008479,41.759520,-0.011561,40.2
1928-06-30,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.006897,37.762500,0.008289,42.105640,-0.000000,40.2
1928-09-29,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.009830,38.133720,0.009193,42.492720,0.011696,40.7
1928-12-31,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.019068,38.860870,0.011749,42.991950,-0.011560,40.2
1929-03-28,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.010424,39.265960,0.010306,43.435020,-0.005848,40.0
1929-06-29,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.012697,39.764510,0.013205,44.008610,0.005882,40.2
1929-09-30,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.011683,40.229060,0.010988,44.492150,0.011696,40.7
1929-12-31,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.013535,40.773560,0.012052,45.028340,-0.005780,40.5
1930-03-31,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.008532,41.121440,0.007851,45.381890,-0.017442,39.8
1930-06-30,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.009925,41.529590,0.007396,45.717530,-0.005917,39.5
1930-09-30,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.005498,41.757910,0.004763,45.935280,-0.011905,39.1
1930-12-31,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.003266,41.894300,0.003266,46.085320,-0.030121,37.9
1931-03-31,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.003902,42.057790,0.002851,46.216720,-0.031056,36.7
1931-06-30,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.002702,42.171460,0.002208,46.318740,-0.032051,35.5
1931-09-30,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,-0.000426,42.153520,0.001397,46.383410,-0.006623,35.3
1931-12-31,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.000878,42.190520,0.003737,46.556760,-0.026667,34.4
1932-03-31,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.003162,42.323910,0.004969,46.788090,-0.041096,32.9
1932-06-30,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.003795,42.484510,0.001811,46.872800,-0.028571,32.0
1932-09-30,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.001186,42.534920,0.000826,46.911510,-0.014706,31.5
1932-12-31,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,0.000545,42.558120,0.000432,46.931780,-0.022389,30.8
1933-03-31,,50.270880,,49.268750,,46.975440,,40.414100,,38.345210,,39.545980,,39.843570,-0.000531,42.535510,0.000263,46.944120,-0.038168,29.6
