Year,Australia,Canada,France,Germany,Italy,Japan,New Zealand,Norway,Spain,Sweden,Switzerland,United Kingdom
1980,162.936,276.064,695.475,856.833,479.967,1129.38,22.56,64.439,231.048,139.571,122.466,604.697
1981,188.423,307.246,612.552,720.895,435.267,1245.22,23.481,63.597,204.843,127.406,112.129,588.342
1982,187.062,314.639,581.254,696.088,430.169,1158.73,23.246,62.647,197.89,112.404,114.891,559.326
1983,179.49,341.863,555.956,694.447,446.399,1270.86,22.493,61.627,173.072,103.289,114.517,532.925
1984,197.15,356.728,526.671,654.289,441.048,1345.83,22.386,62.058,172.597,107.628,109.4,504.939
1985,174.397,366.184,551.596,663.459,455.457,1427.02,22.548,65.417,181.847,112.593,110.965,537.2
1986,181.49,379.015,766.302,947.583,645.071,2120.08,27.439,78.693,251.618,148.766,159.074,655.035
1987,213.115,433.14,927.257,1179.17,809.632,2580.75,36.993,94.231,318.787,180.937,199.086,814.102
1988,271.107,509.38,1012.84,1271.26,897.006,3125.73,45.523,101.901,374.535,204.691,215.36,989.706
1989,308.406,567.225,1017.7,1262.0,932.931,3109.46,44.024,102.634,413.106,215.436,208.135,1007.62
1990,324.124,596.089,1260.87,1604.5,1164.33,3185.9,45.794,119.791,536.322,258.395,265.911,1197.02
1991,324.416,612.514,1263.24,1882.49,1229.9,3648.07,43.44,121.872,577.166,270.629,269.003,1248.63
1992,318.001,594.376,1392.56,2146.14,1305.1,3980.7,41.515,130.838,630.91,281.588,279.764,1289.59
1993,309.288,579.059,1315.8,2080.09,1049.47,4536.94,44.808,120.579,529.98,212.646,272.006,1155.16
1994,353.374,579.913,1388.48,2220.17,1082.46,4998.8,52.919,127.132,531.801,228.703,301.246,1241.72
1995,379.172,605.941,1596.25,2595.27,1177.99,5545.57,62.24,152.031,614.713,267.054,353.058,1344.5
1996,424.744,630.598,1599.25,2507.45,1315.14,4923.39,69.101,163.52,642.48,291.954,340.259,1421.1
1997,426.342,655.01,1451.06,2221.5,1246.34,4492.45,68.869,161.357,590.5,268.252,294.858,1561.24
1998,381.483,634.004,1498.97,2250.85,1274.38,4098.36,56.815,154.23,619.541,270.891,303.265,1653.85
1999,411.976,678.417,1488.39,2216.07,1256.25,4635.98,58.898,162.384,635.025,274.319,297.579,1688.25
2000,400.303,744.631,1361.56,1967.85,1150.17,4968.36,54.127,171.456,598.367,262.904,279.285,1668.69
2001,378.077,738.968,1370.39,1966.4,1172.05,4374.71,53.129,174.24,627.803,242.498,286.773,1650.25
2002,425.477,760.149,1491.37,2100.87,1280.84,4182.85,62.061,195.915,708.437,267.373,309.594,1788.55
2003,541.191,895.599,1834.64,2534.08,1582.53,4519.56,82.408,229.385,907.736,334.074,362.17,2056.29
2004,658.776,1026.47,2108.84,2851.02,1811.99,4893.14,101.599,265.267,1069.34,384.548,403.446,2422.62
2005,736.434,1173.51,2193.36,2894.99,1866.01,4831.47,113.266,309.979,1155.31,391.691,418.222,2546.04
2006,783.451,1319.36,2317.99,3046.47,1958.67,4601.66,109.738,346.914,1261.91,422.528,441.862,2712.26
2007,950.092,1468.9,2656.13,3484.47,2222.79,4579.75,134.876,402.646,1476.92,490.052,491.066,3091.7
2008,1056.57,1552.86,2926.48,3808.37,2417.24,5106.68,135.373,464.915,1635.94,514.617,566.968,2960.39
2009,1000.84,1376.51,2697.14,3476.02,2207.09,5289.49,121.701,387.974,1494.96,434.313,553.913,2421.48
2010,1254.69,1617.35,2648.39,3470.99,2146.69,5759.07,145.36,431.052,1429.16,492.753,598.333,2487.92
2011,1515.59,1793.33,2869.9,3824.16,2306.57,6233.15,166.949,501.361,1487.31,570.541,715.799,2664.72
2012,1570.32,1828.36,2684.71,3600.18,2099.26,6272.36,175.033,512.777,1331.84,549.742,686.546,2707.57
2013,1520.13,1846.6,2816.12,3808.14,2153.26,5212.33,187.132,526.014,1362.21,584.128,706.776,2786.67
2014,1457.36,1805.75,2861.97,3966.82,2173.82,4897.0,200.153,501.737,1380.6,577.73,726.692,3066.3
2015,1234.46,1556.51,2442.73,3423.92,1845.62,4444.93,176.326,388.16,1206.29,501.698,693.845,2928.56
2016,1263.67,1528.0,2469.73,3536.81,1886.59,5003.68,185.901,370.957,1242.67,514.218,687.721,2699.09
2017,1382.67,1649.27,2587.96,3761.76,1970.03,4930.84,203.626,401.745,1321.29,536.084,695.505,2682.38
2018,1419.28,1725.3,2782.84,4053.85,2100.39,5040.88,209.601,439.788,1432.29,551.312,725.9,2875.02
2019,1388.09,1743.73,2723.09,3957.65,2019.83,5118.0,210.761,408.743,1403.65,532.169,721.89,2853.07
2020,1364.83,1655.69,2645.81,3936.99,1905.95,5054.09,210.271,367.633,1288.75,545.148,741.311,2698.71
2021,1658.44,2007.47,2968.41,4351.19,2180.66,5039.9,249.711,503.368,1462.22,637.187,814.689,3144.08
2022,1724.03,2161.48,2798.5,4166.87,2104.65,4271.93,242.575,593.727,1447.64,579.896,828.447,3125.4
2023,1740.62,2142.47,3052.71,4527.01,2301.6,4219.83,248.687,485.311,1620.56,584.914,894.811,3382.12
2024,1802.01,2214.8,3174.1,4710.03,2376.51,4070.09,252.236,503.752,1731.47,609.039,942.265,3587.55
2025,1881.14,2330.31,3283.43,4921.56,2459.6,4389.33,262.924,506.466,1827.58,638.78,999.604,3730.26
2026,1965.39,2445.95,3398.06,5117.18,2534.56,4584.64,274.325,509.343,1913.16,667.508,1045.77,3873.12
