fic,date,portret,portretx,n,country,currency
SGP,1986-07-01,0.0099083498,0.0099083498,18,SINGAPORE,SGD
SGP,1986-07-02,0.0063056711,0.0063056711,18,SINGAPORE,SGD
SGP,1986-07-03,-0.007622754,-0.007622754,18,SINGAPORE,SGD
SGP,1986-07-04,-0.000306198,-0.000306198,18,SINGAPORE,SGD
SGP,1986-07-07,-0.007696938,-0.007696938,18,SINGAPORE,SGD
SGP,1986-07-08,0.0083867587,0.0083867587,18,SINGAPORE,SGD
SGP,1986-07-09,-0.009809773,-0.009809773,18,SINGAPORE,SGD
SGP,1986-07-10,-0.007811682,-0.007811682,18,SINGAPORE,SGD
SGP,1986-07-14,0.0134856781,0.0134856781,18,SINGAPORE,SGD
SGP,1986-07-15,-0.003960978,-0.003960978,18,SINGAPORE,SGD
SGP,1986-07-16,-0.000033174,-0.000033174,18,SINGAPORE,SGD
SGP,1986-07-17,0.0078037761,0.0078037761,18,SINGAPORE,SGD
SGP,1986-07-18,-0.008593513,-0.008593513,18,SINGAPORE,SGD
SGP,1986-07-21,-0.008635301,-0.008635301,18,SINGAPORE,SGD
SGP,1986-07-22,-0.01212986,-0.01212986,18,SINGAPORE,SGD
SGP,1986-07-23,-0.003935039,-0.004606212,18,SINGAPORE,SGD
SGP,1986-07-24,-0.005781803,-0.005781803,18,SINGAPORE,SGD
SGP,1986-07-25,0.0051986919,0.0051986919,18,SINGAPORE,SGD
SGP,1986-07-28,0.0073854227,0.0073854227,18,SINGAPORE,SGD
SGP,1986-07-29,0.0162652317,0.0162652317,18,SINGAPORE,SGD
SGP,1986-07-30,0.0090204009,0.0090204009,18,SINGAPORE,SGD
SGP,1986-07-31,-0.004909693,-0.004909693,18,SINGAPORE,SGD
SGP,1986-08-01,-0.004624964,-0.004624964,18,SINGAPORE,SGD
SGP,1986-08-04,0.0109116874,0.0109116874,18,SINGAPORE,SGD
SGP,1986-08-05,0.0115518994,0.0115518994,18,SINGAPORE,SGD
SGP,1986-08-06,0.0039587734,0.0039587734,18,SINGAPORE,SGD
SGP,1986-08-07,-0.001344271,-0.001344271,18,SINGAPORE,SGD
SGP,1986-08-08,0.0060151878,0.0060151878,18,SINGAPORE,SGD
SGP,1986-08-12,0.0067092481,0.0067092481,18,SINGAPORE,SGD
SGP,1986-08-18,0.0030384452,0.0030384452,18,SINGAPORE,SGD
SGP,1986-08-19,-0.005755661,-0.005755661,18,SINGAPORE,SGD
SGP,1986-08-21,0.0066622947,0.0066622947,18,SINGAPORE,SGD
SGP,1986-08-22,-0.003108547,-0.003108547,18,SINGAPORE,SGD
SGP,1986-08-25,0.0031739408,0.0020891842,18,SINGAPORE,SGD
SGP,1986-08-26,-0.011678675,-0.011678675,18,SINGAPORE,SGD
SGP,1986-08-27,0.0154339688,0.0154339688,18,SINGAPORE,SGD
SGP,1986-08-28,0.0005880168,0.0005880168,18,SINGAPORE,SGD
SGP,1986-08-29,0.0107048863,0.0093178408,18,SINGAPORE,SGD
SGP,1986-09-01,0.0169728067,0.0169728067,18,SINGAPORE,SGD
SGP,1986-09-02,-0.005288524,-0.005288524,18,SINGAPORE,SGD
SGP,1986-09-03,-0.014341573,-0.014341573,18,SINGAPORE,SGD
SGP,1986-09-04,-0.007681563,-0.007681563,18,SINGAPORE,SGD
SGP,1986-09-05,0.0106184957,0.0106184957,18,SINGAPORE,SGD
SGP,1986-09-08,0.0018488916,0.0018488916,18,SINGAPORE,SGD
SGP,1986-09-09,-0.002966951,-0.002966951,18,SINGAPORE,SGD
SGP,1986-09-10,-0.008917819,-0.008917819,18,SINGAPORE,SGD
SGP,1986-09-11,0.0135185559,0.0135185559,18,SINGAPORE,SGD
SGP,1986-09-12,-0.006424667,-0.006424667,18,SINGAPORE,SGD
SGP,1986-09-15,-0.00707808,-0.008431188,18,SINGAPORE,SGD
SGP,1986-09-16,-0.006059569,-0.006059569,18,SINGAPORE,SGD
SGP,1986-09-17,-0.006351549,-0.006351549,18,SINGAPORE,SGD
SGP,1986-09-18,0.0050827276,0.0050827276,18,SINGAPORE,SGD
SGP,1986-09-22,-0.007418358,-0.007418358,18,SINGAPORE,SGD
SGP,1986-09-23,0.0101990459,0.0101990459,18,SINGAPORE,SGD
SGP,1986-09-24,0.0104909005,0.0104909005,18,SINGAPORE,SGD
SGP,1986-09-25,-0.00544792,-0.00544792,18,SINGAPORE,SGD
SGP,1986-09-26,-0.002608351,-0.002608351,18,SINGAPORE,SGD
SGP,1986-09-30,-0.011640503,-0.011640503,18,SINGAPORE,SGD
SGP,1986-10-01,0.012696257,0.012696257,18,SINGAPORE,SGD
SGP,1986-10-02,0.0070704112,0.0070704112,18,SINGAPORE,SGD
SGP,1986-10-03,0.0082312073,0.0082312073,18,SINGAPORE,SGD
SGP,1986-10-06,0.0137890594,0.0137890594,18,SINGAPORE,SGD
SGP,1986-10-07,0.0076800475,0.0076800475,18,SINGAPORE,SGD
SGP,1986-10-08,0.0304060165,0.0304060165,18,SINGAPORE,SGD
SGP,1986-10-09,0.041142173,0.040589027,18,SINGAPORE,SGD
SGP,1986-10-10,0.0178816476,0.0178816476,18,SINGAPORE,SGD
SGP,1986-10-13,0.0038880778,0.0038880778,18,SINGAPORE,SGD
SGP,1986-10-14,-0.021035667,-0.021035667,18,SINGAPORE,SGD
SGP,1986-10-15,0.0155312096,0.0155312096,18,SINGAPORE,SGD
SGP,1986-10-16,0.014133449,0.014133449,18,SINGAPORE,SGD
SGP,1986-10-17,-0.010922279,-0.010922279,18,SINGAPORE,SGD
SGP,1986-10-21,-0.00752245,-0.00752245,18,SINGAPORE,SGD
SGP,1986-10-22,0.0086336586,0.0086336586,18,SINGAPORE,SGD
SGP,1986-10-23,0.0006695517,0.0006695517,18,SINGAPORE,SGD
SGP,1986-10-24,0.0087960703,0.0087960703,18,SINGAPORE,SGD
SGP,1986-10-27,0.0313680159,0.0313680159,18,SINGAPORE,SGD
SGP,1986-10-28,-0.002076966,-0.002076966,18,SINGAPORE,SGD
SGP,1986-10-29,-0.001435829,-0.001435829,18,SINGAPORE,SGD
SGP,1986-10-30,-0.007630256,-0.007630256,18,SINGAPORE,SGD
SGP,1986-10-31,0.0155373431,0.0155373431,18,SINGAPORE,SGD
SGP,1986-11-03,0.0094649031,0.0094649031,18,SINGAPORE,SGD
