,PC1,PC2,PC3,PC4,PC5,PC6,PC7
FF_RF,-0.0276,0.0995,-0.216,0.9647,0.0765,-0.031,-0.0216
IR_dtb3,0.4498,-0.0012,0.0975,0.012,0.2426,0.0638,0.7454
IR_dtb6,0.5205,0.0352,-0.0207,0.0614,0.0615,0.0131,0.0936
IR_dgs1,0.5216,0.0318,-0.05,-0.0382,-0.0396,-0.0254,-0.2732
FF_Mkt_RF,-0.0249,-0.5393,0.3658,0.0791,0.7018,0.0929,-0.258
IR_dgs2,0.4971,-0.0112,-0.0894,-0.0113,-0.1067,-0.0059,-0.5164
BAB_USA,-0.008,0.4992,0.531,0.0884,-0.0336,0.6686,-0.1134
FF_RMW,-0.0224,0.6015,0.2533,-0.0591,0.3854,-0.6403,-0.1003
BLM_SPGSCI,0.0751,-0.293,0.6731,0.2149,-0.5257,-0.3584,0.0666
__explained_var_ratio__,0.3732,0.1734,0.1293,0.1101,0.0783,0.0667,0.0496
__cum_var_ratio__,0.3732,0.5466,0.6759,0.7861,0.8644,0.9311,0.9807
