gamma,regime_source,rebalance_month,strategy,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
0.02,altdataonly_hmm,2014-01-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.02,altdataonly_hmm,2014-01-01,DR-CVaR,0.11742501108928484,0.030134198517819982,0.11510784975248768,0.03278287410469879,0.11742501108928485,0.11742501108928484,0.11742501108928484,0.11742501108928449,0.11742501108928484,0.11742501108928484
0.02,altdataonly_hmm,2014-01-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,altdataonly_hmm,2014-01-01,RSDR-CVaR,0.10067015792150051,0.10067015792150051,0.10067015792150055,0.09396857870649532,0.10067015792150051,0.10067015792150051,0.10067015792150051,0.10067015792150051,0.10067015792150051,0.10067015792150051
0.02,altdataonly_hmm,2014-02-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.02,altdataonly_hmm,2014-02-01,DR-CVaR,0.11742501108928484,0.030134198517819982,0.11510784975248768,0.03278287410469879,0.11742501108928485,0.11742501108928484,0.11742501108928484,0.11742501108928449,0.11742501108928484,0.11742501108928484
0.02,altdataonly_hmm,2014-02-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.02,altdataonly_hmm,2014-02-01,RSDR-CVaR,0.10067015792150052,0.10067015792150052,0.1006701579215005,0.09396857870649533,0.10067015792150052,0.10067015792150052,0.10067015792150052,0.10067015792150052,0.10067015792150052,0.10067015792150052
0.02,altdataonly_hmm,2014-03-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.02,altdataonly_hmm,2014-03-01,DR-CVaR,0.11742501108928484,0.030134198517819982,0.11510784975248768,0.03278287410469879,0.11742501108928485,0.11742501108928484,0.11742501108928484,0.11742501108928449,0.11742501108928484,0.11742501108928484
0.02,altdataonly_hmm,2014-03-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5979583435485373,0.1954489493100007,0.20659270714146202,0.0
0.02,altdataonly_hmm,2014-03-01,RSDR-CVaR,0.10067015792150051,0.10067015792150055,0.1006701579215005,0.09396857870649544,0.10067015792150047,0.10067015792150051,0.10067015792150051,0.10067015792150051,0.10067015792150051,0.10067015792150051
0.02,altdataonly_hmm,2014-04-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.02,altdataonly_hmm,2014-04-01,DR-CVaR,0.11742501108928483,0.030134198517819344,0.11510784975248811,0.03278287410469953,0.11742501108928485,0.11742501108928483,0.11742501108928483,0.11742501108928405,0.11742501108928483,0.11742501108928483
0.02,altdataonly_hmm,2014-04-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5979583435485373,0.1954489493100007,0.20659270714146202,0.0
0.02,altdataonly_hmm,2014-04-01,RSDR-CVaR,0.10000000000000013,0.10000000000000013,0.10000000000000007,0.10000000000000009,0.10000000000000185,0.10000000000000005,0.10000000000000013,0.10000000000000495,0.09999999999999934,0.10000000000000013
0.02,altdataonly_hmm,2014-05-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.02,altdataonly_hmm,2014-05-01,DR-CVaR,0.11742501108928483,0.030134198517819344,0.11510784975248811,0.03278287410469953,0.11742501108928485,0.11742501108928483,0.11742501108928483,0.11742501108928405,0.11742501108928483,0.11742501108928483
0.02,altdataonly_hmm,2014-05-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5979583435485373,0.1954489493100007,0.20659270714146202,0.0
0.02,altdataonly_hmm,2014-05-01,RSDR-CVaR,0.1,0.1,0.09999999999999998,0.1,0.09999999999999998,0.1,0.1,0.1,0.1,0.1
0.02,altdataonly_hmm,2014-06-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.02,altdataonly_hmm,2014-06-01,DR-CVaR,0.11742501108928483,0.030134198517819344,0.11510784975248811,0.03278287410469953,0.11742501108928485,0.11742501108928483,0.11742501108928483,0.11742501108928405,0.11742501108928483,0.11742501108928483
0.02,altdataonly_hmm,2014-06-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5979583435485373,0.1954489493100007,0.20659270714146202,0.0
0.02,altdataonly_hmm,2014-06-01,RSDR-CVaR,0.09999999999999903,0.10000000000000003,0.09999999999999996,0.09999999999999985,0.10000000000000016,0.10000000000000087,0.1,0.1,0.1,0.1
0.02,altdataonly_hmm,2014-07-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.02,altdataonly_hmm,2014-07-01,DR-CVaR,0.11742501108928483,0.030134198517819344,0.11510784975248811,0.03278287410469953,0.11742501108928485,0.11742501108928483,0.11742501108928483,0.11742501108928405,0.11742501108928483,0.11742501108928483
0.02,altdataonly_hmm,2014-07-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5979583435485373,0.1954489493100007,0.20659270714146202,0.0
0.02,altdataonly_hmm,2014-07-01,RSDR-CVaR,0.10382328948461059,0.06559039463850481,0.10382328948461064,0.10382328948461059,0.1038232894846105,0.10382328948461059,0.10382328948461059,0.10382328948461059,0.10382328948461059,0.10382328948461059
0.02,altdataonly_hmm,2014-08-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
0.02,altdataonly_hmm,2014-08-01,DR-CVaR,0.11742501108928496,0.030134198517818178,0.11510784975248786,0.03278287410469922,0.11742501108928483,0.11742501108928513,0.11742501108928496,0.11742501108928505,0.11742501108928496,0.11742501108928485
0.02,altdataonly_hmm,2014-08-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5979583435485373,0.1954489493100007,0.20659270714146202,0.0
0.02,altdataonly_hmm,2014-08-01,RSDR-CVaR,0.11719691436321464,0.027506317862954266,0.11719691436321457,0.03491836723132909,0.11719691436321432,0.11719691436321464,0.11719691436321464,0.11719691436321464,0.11719691436321464,0.11719691436321464
0.02,altdataonly_hmm,2014-09-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
0.02,altdataonly_hmm,2014-09-01,DR-CVaR,0.11742501108928496,0.030134198517818178,0.11510784975248786,0.03278287410469922,0.11742501108928483,0.11742501108928513,0.11742501108928496,0.11742501108928505,0.11742501108928496,0.11742501108928485
0.02,altdataonly_hmm,2014-09-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5979583435485373,0.1954489493100007,0.20659270714146202,0.0
0.02,altdataonly_hmm,2014-09-01,RSDR-CVaR,0.11719691436321389,0.027506317862956032,0.11719691436321406,0.03491836723132878,0.11719691436321522,0.11719691436321389,0.11719691436321389,0.11719691436321651,0.11719691436321346,0.11719691436321428
0.02,altdataonly_hmm,2014-10-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
0.02,altdataonly_hmm,2014-10-01,DR-CVaR,0.11742501108928496,0.030134198517818178,0.11510784975248786,0.03278287410469922,0.11742501108928483,0.11742501108928513,0.11742501108928496,0.11742501108928505,0.11742501108928496,0.11742501108928485
0.02,altdataonly_hmm,2014-10-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5979583435485373,0.1954489493100007,0.20659270714146202,0.0
0.02,altdataonly_hmm,2014-10-01,RSDR-CVaR,0.11719691436321461,0.027506317862954502,0.11719691436321454,0.03491836723132857,0.11719691436321474,0.11719691436321461,0.11719691436321461,0.11719691436321461,0.11719691436321461,0.11719691436321461
0.02,altdataonly_hmm,2014-11-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
0.02,altdataonly_hmm,2014-11-01,DR-CVaR,0.11742501108928496,0.030134198517818178,0.11510784975248786,0.03278287410469922,0.11742501108928483,0.11742501108928513,0.11742501108928496,0.11742501108928505,0.11742501108928496,0.11742501108928485
0.02,altdataonly_hmm,2014-11-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5979583435485373,0.1954489493100007,0.20659270714146202,0.0
0.02,altdataonly_hmm,2014-11-01,RSDR-CVaR,0.11719691436321465,0.02750631786295448,0.11719691436321446,0.03491836723132853,0.11719691436321465,0.11719691436321465,0.11719691436321465,0.11719691436321465,0.11719691436321465,0.11719691436321465
0.02,altdataonly_hmm,2014-12-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
0.02,altdataonly_hmm,2014-12-01,DR-CVaR,0.11742501108928496,0.030134198517818178,0.11510784975248786,0.03278287410469922,0.11742501108928483,0.11742501108928513,0.11742501108928496,0.11742501108928505,0.11742501108928496,0.11742501108928485
0.02,altdataonly_hmm,2014-12-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5411386235133554,0.0,0.4588613764866446,0.0
0.02,altdataonly_hmm,2014-12-01,RSDR-CVaR,0.11719691436321465,0.02750631786295448,0.11719691436321446,0.03491836723132853,0.11719691436321465,0.11719691436321465,0.11719691436321465,0.11719691436321465,0.11719691436321465,0.11719691436321465
0.02,altdataonly_hmm,2015-01-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
0.02,altdataonly_hmm,2015-01-01,DR-CVaR,0.11742501108928491,0.03013419851781937,0.1151078497524872,0.0327828741046988,0.11742501108928508,0.11742501108928545,0.11742501108928492,0.11742501108928473,0.11742501108928492,0.11742501108928442
0.02,altdataonly_hmm,2015-01-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5411386235133554,0.0,0.4588613764866446,0.0
0.02,altdataonly_hmm,2015-01-01,RSDR-CVaR,0.11719691436321462,0.027506317862954766,0.1171969143632146,0.03491836723132824,0.11719691436321467,0.11719691436321462,0.11719691436321462,0.11719691436321462,0.11719691436321462,0.11719691436321462
0.02,altdataonly_hmm,2015-02-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
0.02,altdataonly_hmm,2015-02-01,DR-CVaR,0.11742501108928505,0.03013419851781922,0.11510784975248739,0.0327828741046989,0.1174250110892846,0.11742501108928546,0.11742501108928496,0.11742501108928484,0.11742501108928496,0.11742501108928473
0.02,altdataonly_hmm,2015-02-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5411386235133554,0.0,0.4588613764866446,0.0
0.02,altdataonly_hmm,2015-02-01,RSDR-CVaR,0.11719691436321462,0.027506317862954405,0.1171969143632146,0.03491836723132853,0.11719691436321462,0.11719691436321462,0.11719691436321462,0.11719691436321462,0.11719691436321462,0.11719691436321462
0.02,altdataonly_hmm,2015-03-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
