gamma,regime_source,rebalance_month,strategy,success,objective,VaR_v,theta_used,robust_norm_value,robust_penalty_component,max_weight,effective_n_assets,predicted_state,predicted_state_prob,regime_weight_max,regime_weight_argmax,message
0.02,altdata_bnmeanrank_hmm,2014-01-01,SAA-CVaR,True,0.07022013165822483,0.043978482034295566,0.0,1.0,0.0,0.5503790154010851,2.3146670897691357,2,0.9999871975676643,0.9898364288385115,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdata_bnmeanrank_hmm,2014-01-01,DR-CVaR,True,0.1240916878623397,0.06470227104217018,0.012391157325082714,0.11742501108928484,0.029100635726138187,0.11742501108928485,8.948302720918877,2,0.9999871975676643,0.9898364288385115,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdata_bnmeanrank_hmm,2014-01-01,RS-CVaR,True,0.07244483354088065,0.042890310276227084,0.0,1.0,0.0,0.5762059291042475,2.2806306030052674,2,0.9999871975676643,0.9898364288385115,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdata_bnmeanrank_hmm,2014-01-01,RSDR-CVaR,True,0.12894209607455875,0.05023755616452161,0.01264897490122088,0.15109703876919456,0.038224453020806765,0.15109703876919803,6.863004882390168,2,0.9999871975676643,0.9898364288385115,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdata_bnmeanrank_hmm,2014-02-01,SAA-CVaR,True,0.07022013165822483,0.043978482034295566,0.0,1.0,0.0,0.5503790154010851,2.3146670897691357,2,0.9999965572700212,0.9898456947393278,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdata_bnmeanrank_hmm,2014-02-01,DR-CVaR,True,0.1240916878623397,0.06470227104217018,0.012391157325082714,0.11742501108928484,0.029100635726138187,0.11742501108928485,8.948302720918877,2,0.9999965572700212,0.9898456947393278,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdata_bnmeanrank_hmm,2014-02-01,RS-CVaR,True,0.07244498999218274,0.042890310276227084,0.0,1.0,0.0,0.5762059291042475,2.2806306030052674,2,0.9999965572700212,0.9898456947393278,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdata_bnmeanrank_hmm,2014-02-01,RSDR-CVaR,True,0.12894220092324812,0.05023755616452155,0.012648945305557959,0.15109703876919559,0.03822436358446648,0.15109703876919925,6.863004882390174,2,0.9999965572700212,0.9898456947393278,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdata_bnmeanrank_hmm,2014-03-01,SAA-CVaR,True,0.07022013165822483,0.043978482034295566,0.0,1.0,0.0,0.5503790154010851,2.3146670897691357,2,0.9999874259602946,0.9898366547597298,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
0.02,altdata_bnmeanrank_hmm,2014-03-01,DR-CVaR,True,0.1240916878623397,0.06470227104217018,0.012391157325082714,0.11742501108928484,0.029100635726138187,0.11742501108928485,8.948302720918877,2,0.9999874259602946,0.9898366547597298,2,Optimization terminated successfully. (HiGHS Status 7: Optimal)
