gamma,regime_source,rebalance_month,strategy,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
0.02,altdata_bnmeanrank_hmm,2014-01-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.02,altdata_bnmeanrank_hmm,2014-01-01,DR-CVaR,0.11742501108928484,0.030134198517819982,0.11510784975248768,0.03278287410469879,0.11742501108928485,0.11742501108928484,0.11742501108928484,0.11742501108928449,0.11742501108928484,0.11742501108928484
0.02,altdata_bnmeanrank_hmm,2014-01-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5762059291042475,0.12062481174896283,0.30316925914678966,0.0
0.02,altdata_bnmeanrank_hmm,2014-01-01,RSDR-CVaR,0.15109703876919456,0.0,0.0934177673848295,0.0,0.0,0.1510970387691955,0.15109703876919411,0.15109703876919803,0.15109703876919456,0.15109703876919456
0.02,altdata_bnmeanrank_hmm,2014-02-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.02,altdata_bnmeanrank_hmm,2014-02-01,DR-CVaR,0.11742501108928484,0.030134198517819982,0.11510784975248768,0.03278287410469879,0.11742501108928485,0.11742501108928484,0.11742501108928484,0.11742501108928449,0.11742501108928484,0.11742501108928484
0.02,altdata_bnmeanrank_hmm,2014-02-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5762059291042475,0.12062481174896283,0.30316925914678966,0.0
0.02,altdata_bnmeanrank_hmm,2014-02-01,RSDR-CVaR,0.15109703876919559,0.0,0.09341776738482532,0.0,0.0,0.15109703876919678,0.15109703876919536,0.15109703876919087,0.15109703876919925,0.15109703876919559
0.02,altdata_bnmeanrank_hmm,2014-03-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.02,altdata_bnmeanrank_hmm,2014-03-01,DR-CVaR,0.11742501108928484,0.030134198517819982,0.11510784975248768,0.03278287410469879,0.11742501108928485,0.11742501108928484,0.11742501108928484,0.11742501108928449,0.11742501108928484,0.11742501108928484
0.02,altdata_bnmeanrank_hmm,2014-03-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5762059291042475,0.12062481174896283,0.30316925914678966,0.0
0.02,altdata_bnmeanrank_hmm,2014-03-01,RSDR-CVaR,0.15109703876919456,0.0,0.0934177673848295,0.0,0.0,0.1510970387691955,0.15109703876919411,0.15109703876919803,0.15109703876919456,0.15109703876919456
0.02,altdata_bnmeanrank_hmm,2014-04-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.02,altdata_bnmeanrank_hmm,2014-04-01,DR-CVaR,0.11742501108928483,0.030134198517819344,0.11510784975248811,0.03278287410469953,0.11742501108928485,0.11742501108928483,0.11742501108928483,0.11742501108928405,0.11742501108928483,0.11742501108928483
0.02,altdata_bnmeanrank_hmm,2014-04-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5762059291042475,0.12062481174896283,0.30316925914678966,0.0
0.02,altdata_bnmeanrank_hmm,2014-04-01,RSDR-CVaR,0.15109703876919559,0.0,0.09341776738482532,0.0,0.0,0.15109703876919678,0.15109703876919536,0.15109703876919087,0.15109703876919925,0.15109703876919559
0.02,altdata_bnmeanrank_hmm,2014-05-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.02,altdata_bnmeanrank_hmm,2014-05-01,DR-CVaR,0.11742501108928483,0.030134198517819344,0.11510784975248811,0.03278287410469953,0.11742501108928485,0.11742501108928483,0.11742501108928483,0.11742501108928405,0.11742501108928483,0.11742501108928483
0.02,altdata_bnmeanrank_hmm,2014-05-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5762059291042475,0.12062481174896283,0.30316925914678966,0.0
0.02,altdata_bnmeanrank_hmm,2014-05-01,RSDR-CVaR,0.15109703876919475,0.0,0.09341776738482685,0.0,0.0,0.15109703876919542,0.1510970387691961,0.1510970387691954,0.15109703876919525,0.15109703876919525
0.02,altdata_bnmeanrank_hmm,2014-06-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.02,altdata_bnmeanrank_hmm,2014-06-01,DR-CVaR,0.11742501108928483,0.030134198517819344,0.11510784975248811,0.03278287410469953,0.11742501108928485,0.11742501108928483,0.11742501108928483,0.11742501108928405,0.11742501108928483,0.11742501108928483
0.02,altdata_bnmeanrank_hmm,2014-06-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5762059291042475,0.12062481174896283,0.30316925914678966,0.0
0.02,altdata_bnmeanrank_hmm,2014-06-01,RSDR-CVaR,0.1510970387691952,0.0,0.09341776738482965,0.0,0.0,0.1510970387691951,0.15109703876919595,0.15109703876919522,0.1510970387691961,0.1510970387691952
0.02,altdata_bnmeanrank_hmm,2014-07-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.02,altdata_bnmeanrank_hmm,2014-07-01,DR-CVaR,0.11742501108928483,0.030134198517819344,0.11510784975248811,0.03278287410469953,0.11742501108928485,0.11742501108928483,0.11742501108928483,0.11742501108928405,0.11742501108928483,0.11742501108928483
0.02,altdata_bnmeanrank_hmm,2014-07-01,RS-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5762059291042475,0.12062481174896283,0.30316925914678966,0.0
0.02,altdata_bnmeanrank_hmm,2014-07-01,RSDR-CVaR,0.1510970387691952,0.0,0.09341776738482965,0.0,0.0,0.1510970387691951,0.15109703876919595,0.15109703876919522,0.1510970387691961,0.1510970387691952
0.02,altdata_bnmeanrank_hmm,2014-08-01,SAA-CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.510273860012493,0.0,0.489726139987507,0.0
