gamma,regime_source,month,strategy,return,predicted_state
0.02,altdataonly_hmm,2014-01-01,SAA-CVaR,-0.02204182266220558,3
0.02,altdataonly_hmm,2014-01-01,DR-CVaR,-0.0299801841762212,3
0.02,altdataonly_hmm,2014-01-01,RS-CVaR,-0.034359221888999966,3
0.02,altdataonly_hmm,2014-01-01,RSDR-CVaR,-0.03175768483855555,3
0.02,altdataonly_hmm,2014-02-01,SAA-CVaR,0.046486643239760816,3
0.02,altdataonly_hmm,2014-02-01,DR-CVaR,0.04769167544178882,3
0.02,altdataonly_hmm,2014-02-01,RS-CVaR,0.03805697534155282,3
0.02,altdataonly_hmm,2014-02-01,RSDR-CVaR,0.04815577282077603,3
0.02,altdataonly_hmm,2014-03-01,SAA-CVaR,0.011274422455335033,3
0.02,altdataonly_hmm,2014-03-01,DR-CVaR,0.00799168746020016,3
0.02,altdataonly_hmm,2014-03-01,RS-CVaR,0.016988343782127845,3
0.02,altdataonly_hmm,2014-03-01,RSDR-CVaR,0.009706264051198246,3
0.02,altdataonly_hmm,2014-04-01,SAA-CVaR,0.01740354513198319,3
0.02,altdataonly_hmm,2014-04-01,DR-CVaR,0.014284760768663276,3
0.02,altdataonly_hmm,2014-04-01,RS-CVaR,0.02332924968265305,3
0.02,altdataonly_hmm,2014-04-01,RSDR-CVaR,0.011655800000000244,3
0.02,altdataonly_hmm,2014-05-01,SAA-CVaR,0.01865637481102095,3
0.02,altdataonly_hmm,2014-05-01,DR-CVaR,0.020313611454031183,3
0.02,altdataonly_hmm,2014-05-01,RS-CVaR,0.014623217351746091,3
0.02,altdataonly_hmm,2014-05-01,RSDR-CVaR,0.0206142,3
0.02,altdataonly_hmm,2014-06-01,SAA-CVaR,0.010653250605979814,3
0.02,altdataonly_hmm,2014-06-01,DR-CVaR,0.022485019189900722,3
0.02,altdataonly_hmm,2014-06-01,RS-CVaR,0.011590091386704058,3
0.02,altdataonly_hmm,2014-06-01,RSDR-CVaR,0.02220089999999999,3
0.02,altdataonly_hmm,2014-07-01,SAA-CVaR,-0.025042855407439796,3
0.02,altdataonly_hmm,2014-07-01,DR-CVaR,-0.022720513878068727,3
0.02,altdataonly_hmm,2014-07-01,RS-CVaR,-0.03285510349968272,3
0.02,altdataonly_hmm,2014-07-01,RSDR-CVaR,-0.022022542255481906,3
0.02,altdataonly_hmm,2014-08-01,SAA-CVaR,0.047257859848111254,3
0.02,altdataonly_hmm,2014-08-01,DR-CVaR,0.040621882147201666,3
0.02,altdataonly_hmm,2014-08-01,RS-CVaR,0.047208548031956614,3
0.02,altdataonly_hmm,2014-08-01,RSDR-CVaR,0.04058741401160664,3
0.02,altdataonly_hmm,2014-09-01,SAA-CVaR,0.005165982707038827,3
0.02,altdataonly_hmm,2014-09-01,DR-CVaR,-0.017225792129857212,3
0.02,altdataonly_hmm,2014-09-01,RS-CVaR,0.0007828615967680097,3
0.02,altdataonly_hmm,2014-09-01,RSDR-CVaR,-0.017343920325075625,3
0.02,altdataonly_hmm,2014-10-01,SAA-CVaR,0.043845765624486305,3
0.02,altdataonly_hmm,2014-10-01,DR-CVaR,0.027611161163336652,3
0.02,altdataonly_hmm,2014-10-01,RS-CVaR,0.047765721897968585,3
0.02,altdataonly_hmm,2014-10-01,RSDR-CVaR,0.02760111222160622,3
0.02,altdataonly_hmm,2014-11-01,SAA-CVaR,0.04532929904329815,3
0.02,altdataonly_hmm,2014-11-01,DR-CVaR,0.022087648627446322,3
0.02,altdataonly_hmm,2014-11-01,RS-CVaR,0.04262067246249597,3
0.02,altdataonly_hmm,2014-11-01,RSDR-CVaR,0.02185500260365808,3
0.02,altdataonly_hmm,2014-12-01,SAA-CVaR,-0.011584086136042344,3
0.02,altdataonly_hmm,2014-12-01,DR-CVaR,-0.00020580170595841784,3
0.02,altdataonly_hmm,2014-12-01,RS-CVaR,-0.011441645252485866,3
0.02,altdataonly_hmm,2014-12-01,RSDR-CVaR,-0.00015489800924136385,3
0.02,altdataonly_hmm,2015-01-01,SAA-CVaR,0.001428190912976297,3
0.02,altdataonly_hmm,2015-01-01,DR-CVaR,-0.020239704221999357,3
