gamma,regime_source,strategy,max_weight,effective_n_assets,theta_used,robust_penalty_component,predicted_state_prob,regime_weight_max
0.02,altdata_bnmeanrank_hmm,DR-CVaR,0.12198815162133746,8.487113315182423,0.012391157325082714,0.030231487570720604,0.9788405518912244,0.9451729689730366
0.02,altdata_bnmeanrank_hmm,RS-CVaR,0.5734060915998515,2.230138161010334,0.0,0.0,0.9788405518912244,0.9451729689730366
0.02,altdata_bnmeanrank_hmm,RSDR-CVaR,0.13729426058651517,7.63672874383743,0.01276331823780099,0.035141588378958394,0.9788405518912244,0.9451729689730366
0.02,altdata_bnmeanrank_hmm,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.9788405518912244,0.9451729689730366
0.02,altdata_bnmeanrank_kmeans,DR-CVaR,0.12198815162133746,8.487113315182423,0.012391157325082714,0.030231487570720604,0.23217746014922241,0.24149574342642577
0.02,altdata_bnmeanrank_kmeans,RS-CVaR,0.6060161562459128,2.1655211433597823,0.0,0.0,0.23217746014922241,0.24149574342642577
0.02,altdata_bnmeanrank_kmeans,RSDR-CVaR,0.1144313927168043,8.8201050190619,0.014739063303212849,0.03374587076862896,0.23217746014922241,0.24149574342642577
0.02,altdata_bnmeanrank_kmeans,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.23217746014922241,0.24149574342642577
0.02,altdataonly_gmm,DR-CVaR,0.12198815162133746,8.487113315182423,0.012391157325082714,0.030231487570720604,0.7799087335615421,0.29287092877687493
0.02,altdataonly_gmm,RS-CVaR,0.565572685131354,2.3405263726117562,0.0,0.0,0.7799087335615421,0.29287092877687493
0.02,altdataonly_gmm,RSDR-CVaR,0.11490237001720861,8.851528429870333,0.014787193317373626,0.033986503118508,0.7799087335615421,0.29287092877687493
0.02,altdataonly_gmm,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.7799087335615421,0.29287092877687493
0.02,altdataonly_hmm,DR-CVaR,0.12198815162133746,8.487113315182423,0.012391157325082714,0.030231487570720604,0.9911690221893854,0.9205053533677138
0.02,altdataonly_hmm,RS-CVaR,0.5888914356328925,2.2257463611737545,0.0,0.0,0.9911690221893854,0.9205053533677138
0.02,altdataonly_hmm,RSDR-CVaR,0.12304787258167389,8.395565655326397,0.013228867517185985,0.032777139313149746,0.9911690221893854,0.9205053533677138
0.02,altdataonly_hmm,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.9911690221893854,0.9205053533677138
0.04,altdata_bnmeanrank_hmm,DR-CVaR,0.10842702991874678,9.316920157085192,0.024782314650165428,0.053741455440585326,0.9788405518912244,0.9451729689730366
0.04,altdata_bnmeanrank_hmm,RS-CVaR,0.5734060915998515,2.230138161010334,0.0,0.0,0.9788405518912244,0.9451729689730366
0.04,altdata_bnmeanrank_hmm,RSDR-CVaR,0.11043843964876782,9.32105543460111,0.02552663647560198,0.05655797903602927,0.9788405518912244,0.9451729689730366
0.04,altdata_bnmeanrank_hmm,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.9788405518912244,0.9451729689730366
0.04,altdata_bnmeanrank_kmeans,DR-CVaR,0.10842702991874678,9.316920157085192,0.024782314650165428,0.053741455440585326,0.23217746014922241,0.24149574342642577
0.04,altdata_bnmeanrank_kmeans,RS-CVaR,0.6060161562459128,2.1655211433597823,0.0,0.0,0.23217746014922241,0.24149574342642577
0.04,altdata_bnmeanrank_kmeans,RSDR-CVaR,0.10407544523842313,9.659245084335483,0.029478126606425698,0.06137417672933972,0.23217746014922241,0.24149574342642577
0.04,altdata_bnmeanrank_kmeans,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.23217746014922241,0.24149574342642577
0.04,altdataonly_gmm,DR-CVaR,0.10842702991874678,9.316920157085192,0.024782314650165428,0.053741455440585326,0.7799087335615421,0.29287092877687493
0.04,altdataonly_gmm,RS-CVaR,0.565572685131354,2.3405263726117562,0.0,0.0,0.7799087335615421,0.29287092877687493
0.04,altdataonly_gmm,RSDR-CVaR,0.10285459758675103,9.785057188382133,0.029574386634747252,0.06083721892268669,0.7799087335615421,0.29287092877687493
0.04,altdataonly_gmm,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.7799087335615421,0.29287092877687493
0.04,altdataonly_hmm,DR-CVaR,0.10842702991874678,9.316920157085192,0.024782314650165428,0.053741455440585326,0.9911690221893854,0.9205053533677138
0.04,altdataonly_hmm,RS-CVaR,0.5888914356328925,2.2257463611737545,0.0,0.0,0.9911690221893854,0.9205053533677138
0.04,altdataonly_hmm,RSDR-CVaR,0.10598197684280174,9.561411438198547,0.02645773503437197,0.05639097833483381,0.9911690221893854,0.9205053533677138
0.04,altdataonly_hmm,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.9911690221893854,0.9205053533677138
0.06,altdata_bnmeanrank_hmm,DR-CVaR,0.10160965529471581,9.883846490555872,0.037173471975248146,0.07554367347025429,0.9788405518912244,0.9451729689730366
0.06,altdata_bnmeanrank_hmm,RS-CVaR,0.5734060915998515,2.230138161010334,0.0,0.0,0.9788405518912244,0.9451729689730366
0.06,altdata_bnmeanrank_hmm,RSDR-CVaR,0.10251520809539903,9.795638815026713,0.03828995471340297,0.07843932309309631,0.9788405518912244,0.9451729689730366
0.06,altdata_bnmeanrank_hmm,SAA-CVaR,0.5354374986624643,2.382717542884297,0.0,0.0,0.9788405518912244,0.9451729689730366
0.06,altdata_bnmeanrank_kmeans,DR-CVaR,0.10160965529471581,9.883846490555872,0.037173471975248146,0.07554367347025429,0.23217746014922241,0.24149574342642577
