gamma,regime_source,month,strategy,return,predicted_state
0.02,altdata_bnmeanrank_hmm,2014-01-01,SAA-CVaR,-0.02204182266220558,2
0.02,altdata_bnmeanrank_hmm,2014-01-01,DR-CVaR,-0.029980184176221204,2
0.02,altdata_bnmeanrank_hmm,2014-01-01,RS-CVaR,-0.023328666601646574,2
0.02,altdata_bnmeanrank_hmm,2014-01-01,RSDR-CVaR,-0.02558670395850594,2
0.02,altdata_bnmeanrank_hmm,2014-02-01,SAA-CVaR,0.046486643239760816,2
0.02,altdata_bnmeanrank_hmm,2014-02-01,DR-CVaR,0.04769167544178882,2
0.02,altdata_bnmeanrank_hmm,2014-02-01,RS-CVaR,0.045495216682245446,2
0.02,altdata_bnmeanrank_hmm,2014-02-01,RSDR-CVaR,0.048476899083471456,2
0.02,altdata_bnmeanrank_hmm,2014-03-01,SAA-CVaR,0.011274422455335033,2
0.02,altdata_bnmeanrank_hmm,2014-03-01,DR-CVaR,0.007991687460200158,2
0.02,altdata_bnmeanrank_hmm,2014-03-01,RS-CVaR,0.012813537180107686,2
0.02,altdata_bnmeanrank_hmm,2014-03-01,RSDR-CVaR,0.005975764344530404,2
0.02,altdata_bnmeanrank_hmm,2014-04-01,SAA-CVaR,0.01740354513198319,2
0.02,altdata_bnmeanrank_hmm,2014-04-01,DR-CVaR,0.014284760768663272,2
0.02,altdata_bnmeanrank_hmm,2014-04-01,RS-CVaR,0.018963951226922182,2
0.02,altdata_bnmeanrank_hmm,2014-04-01,RSDR-CVaR,0.013883116681923794,2
0.02,altdata_bnmeanrank_hmm,2014-05-01,SAA-CVaR,0.018656374811020955,2
0.02,altdata_bnmeanrank_hmm,2014-05-01,DR-CVaR,0.020313611454031183,2
0.02,altdata_bnmeanrank_hmm,2014-05-01,RS-CVaR,0.017818761230922492,2
0.02,altdata_bnmeanrank_hmm,2014-05-01,RSDR-CVaR,0.02053549179155601,2
0.02,altdata_bnmeanrank_hmm,2014-06-01,SAA-CVaR,0.010653250605979814,2
0.02,altdata_bnmeanrank_hmm,2014-06-01,DR-CVaR,0.022485019189900722,2
0.02,altdata_bnmeanrank_hmm,2014-06-01,RS-CVaR,0.010372411078903142,2
0.02,altdata_bnmeanrank_hmm,2014-06-01,RSDR-CVaR,0.02354534522616873,2
0.02,altdata_bnmeanrank_hmm,2014-07-01,SAA-CVaR,-0.025042855407439796,2
0.02,altdata_bnmeanrank_hmm,2014-07-01,DR-CVaR,-0.022720513878068727,2
0.02,altdata_bnmeanrank_hmm,2014-07-01,RS-CVaR,-0.026917990871150682,2
0.02,altdata_bnmeanrank_hmm,2014-07-01,RSDR-CVaR,-0.019721200671649113,2
0.02,altdata_bnmeanrank_hmm,2014-08-01,SAA-CVaR,0.047257859848111254,2
0.02,altdata_bnmeanrank_hmm,2014-08-01,DR-CVaR,0.04062188214720166,2
0.02,altdata_bnmeanrank_hmm,2014-08-01,RS-CVaR,0.04718684002729577,2
0.02,altdata_bnmeanrank_hmm,2014-08-01,RSDR-CVaR,0.04140487968507605,2
0.02,altdata_bnmeanrank_hmm,2014-09-01,SAA-CVaR,0.005165982707038826,2
0.02,altdata_bnmeanrank_hmm,2014-09-01,DR-CVaR,-0.017225792129857212,2
0.02,altdata_bnmeanrank_hmm,2014-09-01,RS-CVaR,0.0052124959056346265,2
0.02,altdata_bnmeanrank_hmm,2014-09-01,RSDR-CVaR,-0.015513847220839242,2
0.02,altdata_bnmeanrank_hmm,2014-10-01,SAA-CVaR,0.043845765624486305,2
0.02,altdata_bnmeanrank_hmm,2014-10-01,DR-CVaR,0.027611161163336652,2
0.02,altdata_bnmeanrank_hmm,2014-10-01,RS-CVaR,0.04331782384480406,2
0.02,altdata_bnmeanrank_hmm,2014-10-01,RSDR-CVaR,0.03131469253639298,2
0.02,altdata_bnmeanrank_hmm,2014-11-01,SAA-CVaR,0.04532929904329815,2
0.02,altdata_bnmeanrank_hmm,2014-11-01,DR-CVaR,0.022087648627446322,2
0.02,altdata_bnmeanrank_hmm,2014-11-01,RS-CVaR,0.04596708851627998,2
0.02,altdata_bnmeanrank_hmm,2014-11-01,RSDR-CVaR,0.02692428892306984,2
0.02,altdata_bnmeanrank_hmm,2014-12-01,SAA-CVaR,-0.011584086136042344,2
0.02,altdata_bnmeanrank_hmm,2014-12-01,DR-CVaR,-0.00020580170595841784,2
0.02,altdata_bnmeanrank_hmm,2014-12-01,RS-CVaR,-0.011441645252485866,2
0.02,altdata_bnmeanrank_hmm,2014-12-01,RSDR-CVaR,-0.000677389485657009,2
0.02,altdata_bnmeanrank_hmm,2015-01-01,SAA-CVaR,0.0014281909129762972,2
0.02,altdata_bnmeanrank_hmm,2015-01-01,DR-CVaR,-0.020239704221999357,2
0.02,altdata_bnmeanrank_hmm,2015-01-01,RS-CVaR,0.000727282998635212,2
0.02,altdata_bnmeanrank_hmm,2015-01-01,RSDR-CVaR,-0.014537088955704573,2
0.02,altdata_bnmeanrank_hmm,2015-02-01,SAA-CVaR,0.04214375701088208,2
0.02,altdata_bnmeanrank_hmm,2015-02-01,DR-CVaR,0.044293090369175656,2
0.02,altdata_bnmeanrank_hmm,2015-02-01,RS-CVaR,0.04209946607525833,2
0.02,altdata_bnmeanrank_hmm,2015-02-01,RSDR-CVaR,0.040850721944734804,2
0.02,altdata_bnmeanrank_hmm,2015-03-01,SAA-CVaR,-0.006766301870664432,2
0.02,altdata_bnmeanrank_hmm,2015-03-01,DR-CVaR,-0.015125873904539098,2
0.02,altdata_bnmeanrank_hmm,2015-03-01,RS-CVaR,-0.007567828914018327,2
0.02,altdata_bnmeanrank_hmm,2015-03-01,RSDR-CVaR,-0.012827384542473626,2
0.02,altdata_bnmeanrank_hmm,2015-04-01,SAA-CVaR,-0.009216401058618534,2
0.02,altdata_bnmeanrank_hmm,2015-04-01,DR-CVaR,0.009907845689494495,2
0.02,altdata_bnmeanrank_hmm,2015-04-01,RS-CVaR,-0.009113960908559173,2
0.02,altdata_bnmeanrank_hmm,2015-04-01,RSDR-CVaR,0.008193843881790699,2
0.02,altdata_bnmeanrank_hmm,2015-05-01,SAA-CVaR,0.026496298615905578,2
0.02,altdata_bnmeanrank_hmm,2015-05-01,DR-CVaR,0.00744530345284257,2
0.02,altdata_bnmeanrank_hmm,2015-05-01,RS-CVaR,0.02537362370832521,2
0.02,altdata_bnmeanrank_hmm,2015-05-01,RSDR-CVaR,0.010961662179008076,2
0.02,altdata_bnmeanrank_hmm,2015-06-01,SAA-CVaR,-0.011176491534339349,2
0.02,altdata_bnmeanrank_hmm,2015-06-01,DR-CVaR,-0.02452385998328131,2
0.02,altdata_bnmeanrank_hmm,2015-06-01,RS-CVaR,-0.01161958607915773,2
0.02,altdata_bnmeanrank_hmm,2015-06-01,RSDR-CVaR,-0.023958970459680082,2
0.02,altdata_bnmeanrank_hmm,2015-07-01,SAA-CVaR,0.04353458253608179,2
0.02,altdata_bnmeanrank_hmm,2015-07-01,DR-CVaR,0.020157403423119648,2
0.02,altdata_bnmeanrank_hmm,2015-07-01,RS-CVaR,0.04437901160070189,2
0.02,altdata_bnmeanrank_hmm,2015-07-01,RSDR-CVaR,0.030215885762072334,2
0.02,altdata_bnmeanrank_hmm,2015-08-01,SAA-CVaR,-0.06943186869184995,2
0.02,altdata_bnmeanrank_hmm,2015-08-01,DR-CVaR,-0.05699951570586398,2
0.02,altdata_bnmeanrank_hmm,2015-08-01,RS-CVaR,-0.06881411045038019,2
0.02,altdata_bnmeanrank_hmm,2015-08-01,RSDR-CVaR,-0.05768944488650443,2
0.02,altdata_bnmeanrank_hmm,2015-09-01,SAA-CVaR,0.012866715242541099,2
0.02,altdata_bnmeanrank_hmm,2015-09-01,DR-CVaR,-0.021976843244452076,2
0.02,altdata_bnmeanrank_hmm,2015-09-01,RS-CVaR,0.012866715242541099,2
0.02,altdata_bnmeanrank_hmm,2015-09-01,RSDR-CVaR,-0.01880237103506814,2
0.02,altdata_bnmeanrank_hmm,2015-10-01,SAA-CVaR,0.04050794135555582,2
0.02,altdata_bnmeanrank_hmm,2015-10-01,DR-CVaR,0.07919257019411888,2
0.02,altdata_bnmeanrank_hmm,2015-10-01,RS-CVaR,0.04050794135555582,2
0.02,altdata_bnmeanrank_hmm,2015-10-01,RSDR-CVaR,0.07694193570517183,2
0.02,altdata_bnmeanrank_hmm,2015-11-01,SAA-CVaR,-0.013502694850702612,2
0.02,altdata_bnmeanrank_hmm,2015-11-01,DR-CVaR,-0.0010170835860885447,2
0.02,altdata_bnmeanrank_hmm,2015-11-01,RS-CVaR,-0.013502694850702612,2
0.02,altdata_bnmeanrank_hmm,2015-11-01,RSDR-CVaR,-0.00241285424523748,2
0.02,altdata_bnmeanrank_hmm,2015-12-01,SAA-CVaR,0.026292281235449327,2
0.02,altdata_bnmeanrank_hmm,2015-12-01,DR-CVaR,-0.017108936361803953,2
0.02,altdata_bnmeanrank_hmm,2015-12-01,RS-CVaR,0.026292281235449327,2
0.02,altdata_bnmeanrank_hmm,2015-12-01,RSDR-CVaR,-0.013621842437719234,2
0.02,altdata_bnmeanrank_hmm,2016-01-01,SAA-CVaR,0.02103309194235843,2
0.02,altdata_bnmeanrank_hmm,2016-01-01,DR-CVaR,-0.03576663860449913,2
0.02,altdata_bnmeanrank_hmm,2016-01-01,RS-CVaR,0.02103309194235843,2
0.02,altdata_bnmeanrank_hmm,2016-01-01,RSDR-CVaR,-0.030925829023991713,2
0.02,altdata_bnmeanrank_hmm,2016-02-01,SAA-CVaR,0.008922312635060112,2
0.02,altdata_bnmeanrank_hmm,2016-02-01,DR-CVaR,0.0050607419364230525,2
0.02,altdata_bnmeanrank_hmm,2016-02-01,RS-CVaR,0.008922312635060112,2
0.02,altdata_bnmeanrank_hmm,2016-02-01,RSDR-CVaR,0.0037336344051678953,2
0.02,altdata_bnmeanrank_hmm,2016-03-01,SAA-CVaR,0.05883462788476462,2
0.02,altdata_bnmeanrank_hmm,2016-03-01,DR-CVaR,0.06875245218946523,2
0.02,altdata_bnmeanrank_hmm,2016-03-01,RS-CVaR,0.05883462788476462,2
0.02,altdata_bnmeanrank_hmm,2016-03-01,RSDR-CVaR,0.06754201925411293,2
0.02,altdata_bnmeanrank_hmm,2016-04-01,SAA-CVaR,-0.017830430986520852,2
0.02,altdata_bnmeanrank_hmm,2016-04-01,DR-CVaR,0.008285349489041503,2
0.02,altdata_bnmeanrank_hmm,2016-04-01,RS-CVaR,-0.017830430986520852,2
0.02,altdata_bnmeanrank_hmm,2016-04-01,RSDR-CVaR,0.003716788068059652,2
0.02,altdata_bnmeanrank_hmm,2016-05-01,SAA-CVaR,0.009797500507408158,2
0.02,altdata_bnmeanrank_hmm,2016-05-01,DR-CVaR,0.011940390577794436,2
0.02,altdata_bnmeanrank_hmm,2016-05-01,RS-CVaR,0.009797500507408158,2
0.02,altdata_bnmeanrank_hmm,2016-05-01,RSDR-CVaR,0.013117447424324136,2
0.02,altdata_bnmeanrank_hmm,2016-06-01,SAA-CVaR,0.06142789381439607,2
0.02,altdata_bnmeanrank_hmm,2016-06-01,DR-CVaR,0.01632690095842835,2
0.02,altdata_bnmeanrank_hmm,2016-06-01,RS-CVaR,0.06142789381439607,2
0.02,altdata_bnmeanrank_hmm,2016-06-01,RSDR-CVaR,0.01889918893971556,2
0.02,altdata_bnmeanrank_hmm,2016-07-01,SAA-CVaR,-0.0076303818335940014,2
0.02,altdata_bnmeanrank_hmm,2016-07-01,DR-CVaR,0.027435648021474895,2
0.02,altdata_bnmeanrank_hmm,2016-07-01,RS-CVaR,-0.0076303818335940014,2
0.02,altdata_bnmeanrank_hmm,2016-07-01,RSDR-CVaR,0.027141041231055027,2
0.02,altdata_bnmeanrank_hmm,2016-08-01,SAA-CVaR,-0.02349172695471531,2
0.02,altdata_bnmeanrank_hmm,2016-08-01,DR-CVaR,-0.006803228518355672,2
0.02,altdata_bnmeanrank_hmm,2016-08-01,RS-CVaR,-0.02349172695471531,2
0.02,altdata_bnmeanrank_hmm,2016-08-01,RSDR-CVaR,-0.009575908690134381,2
0.02,altdata_bnmeanrank_hmm,2016-09-01,SAA-CVaR,-0.008701958607433231,2
0.02,altdata_bnmeanrank_hmm,2016-09-01,DR-CVaR,0.003331778206054024,2
0.02,altdata_bnmeanrank_hmm,2016-09-01,RS-CVaR,-0.008701958607433231,2
0.02,altdata_bnmeanrank_hmm,2016-09-01,RSDR-CVaR,0.0041772676974155465,2
0.02,altdata_bnmeanrank_hmm,2016-10-01,SAA-CVaR,-0.0017700042144724753,2
0.02,altdata_bnmeanrank_hmm,2016-10-01,DR-CVaR,-0.018833013909254185,2
0.02,altdata_bnmeanrank_hmm,2016-10-01,RS-CVaR,-0.0017700042144724753,2
0.02,altdata_bnmeanrank_hmm,2016-10-01,RSDR-CVaR,-0.020032104344690833,2
0.02,altdata_bnmeanrank_hmm,2016-11-01,SAA-CVaR,-0.0463747796774078,2
0.02,altdata_bnmeanrank_hmm,2016-11-01,DR-CVaR,0.02835695084636918,2
0.02,altdata_bnmeanrank_hmm,2016-11-01,RS-CVaR,-0.0463747796774078,2
0.02,altdata_bnmeanrank_hmm,2016-11-01,RSDR-CVaR,0.020004598603367875,2
0.02,altdata_bnmeanrank_hmm,2016-12-01,SAA-CVaR,0.036680105146909586,2
0.02,altdata_bnmeanrank_hmm,2016-12-01,DR-CVaR,0.018861603878967202,2
0.02,altdata_bnmeanrank_hmm,2016-12-01,RS-CVaR,0.036680105146909586,2
0.02,altdata_bnmeanrank_hmm,2016-12-01,RSDR-CVaR,0.019167259586299605,2
0.02,altdata_bnmeanrank_hmm,2017-01-01,SAA-CVaR,0.015431990997982308,2
0.02,altdata_bnmeanrank_hmm,2017-01-01,DR-CVaR,0.017335818718733888,2
0.02,altdata_bnmeanrank_hmm,2017-01-01,RS-CVaR,0.015431990997982308,2
0.02,altdata_bnmeanrank_hmm,2017-01-01,RSDR-CVaR,0.01810112977701175,2
0.02,altdata_bnmeanrank_hmm,2017-02-01,SAA-CVaR,0.049483671772585634,2
0.02,altdata_bnmeanrank_hmm,2017-02-01,DR-CVaR,0.03539239649439412,2
0.02,altdata_bnmeanrank_hmm,2017-02-01,RS-CVaR,0.049483671772585634,2
0.02,altdata_bnmeanrank_hmm,2017-02-01,RSDR-CVaR,0.03703901001794154,2
0.02,altdata_bnmeanrank_hmm,2017-03-01,SAA-CVaR,-0.003191390907245789,2
0.02,altdata_bnmeanrank_hmm,2017-03-01,DR-CVaR,0.0006672950388039792,2
0.02,altdata_bnmeanrank_hmm,2017-03-01,RS-CVaR,-0.003191390907245789,2
0.02,altdata_bnmeanrank_hmm,2017-03-01,RSDR-CVaR,0.0021660559287167112,2
0.02,altdata_bnmeanrank_hmm,2017-04-01,SAA-CVaR,0.009786509187072433,2
0.02,altdata_bnmeanrank_hmm,2017-04-01,DR-CVaR,0.009344247126987847,2
0.02,altdata_bnmeanrank_hmm,2017-04-01,RS-CVaR,0.009786509187072433,2
0.02,altdata_bnmeanrank_hmm,2017-04-01,RSDR-CVaR,0.010579861137151658,2
0.02,altdata_bnmeanrank_hmm,2017-05-01,SAA-CVaR,0.03177083189866163,2
0.02,altdata_bnmeanrank_hmm,2017-05-01,DR-CVaR,0.014092303078489516,2
0.02,altdata_bnmeanrank_hmm,2017-05-01,RS-CVaR,0.03177083189866163,2
0.02,altdata_bnmeanrank_hmm,2017-05-01,RSDR-CVaR,0.016629614387181347,2
0.02,altdata_bnmeanrank_hmm,2017-06-01,SAA-CVaR,-0.02391525686791867,2
0.02,altdata_bnmeanrank_hmm,2017-06-01,DR-CVaR,-0.0002832817682543614,2
