,state,crisis,p_crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
2004-01-01,2,0,3.2646337911416485e-27,3.2646337911416485e-27,4.247793895284348e-06,0.9598719136082509,0.04012383859767534,1.514061642170638e-22,2.3115304912667515e-15
2004-02-01,2,0,1.4640495244585874e-42,1.4640495244585874e-42,4.081242946333881e-20,1.0,4.908250512976663e-17,4.03950304658046e-39,9.607148742828216e-28
2004-03-01,2,0,1.5039952668512098e-72,1.5039952668512098e-72,1.8992405752943106e-53,1.0,1.557347820035494e-51,5.966163278110506e-67,2.383531214702091e-60
2004-04-01,2,0,9.830182453550888e-71,9.830182453550888e-71,1.2115676336532029e-54,1.0,7.016350929269447e-56,1.2396124261753449e-65,4.81665863439619e-61
2004-05-01,2,0,3.563907204542635e-71,3.563907204542635e-71,9.577711066210728e-56,1.0,3.44551559867836e-58,7.141049898553704e-70,2.6818110718509604e-62
2004-06-01,2,0,4.361829059231538e-75,4.361829059231538e-75,5.93219975969057e-57,1.0,1.1699956634436795e-59,2.2043591382279133e-70,9.647802679379796e-64
2004-07-01,2,0,6.565524537563494e-77,6.565524537563494e-77,3.818529164606752e-61,1.0,3.153939138743007e-60,1.6487167469685446e-72,2.5507802827217775e-67
2004-08-01,2,0,1.0687256996428055e-77,1.0687256996428055e-77,3.2677544159402315e-62,1.0,8.238376459183351e-63,1.949699266877891e-76,4.2846639119157223e-69
2004-09-01,2,0,2.1847095530817128e-63,1.3373600115397581e-80,2.8608751566431785e-63,1.0,2.1847095530817128e-63,2.7736368693992285e-76,9.978211014501448e-68
2004-10-01,2,0,2.9570682339115467e-81,2.9570682339115467e-81,6.872406866155934e-64,1.0,1.583070345655046e-65,2.772709632937048e-76,1.2686054183832956e-69
2004-11-01,2,0,2.0608815487017222e-80,2.0608815487017222e-80,6.67661671030458e-64,1.0,8.138127146222476e-67,1.13434195556515e-76,1.4737871763444526e-69
2004-12-01,2,0,1.29138922832095e-81,1.29138922832095e-81,2.7563950868358434e-65,1.0,2.2630672407329436e-67,2.344213876596447e-78,1.3207142791105822e-71
2005-01-01,2,0,3.678692590380968e-83,3.678692590380968e-83,2.2697567673964014e-66,1.0,3.5497904911789562e-68,3.0064942005426955e-78,1.9949145777131348e-71
2005-02-01,2,0,1.2288107835152098e-82,1.2288107835152098e-82,1.4712568802053388e-66,1.0,3.424204792577452e-69,3.8854616535777377e-78,4.199077614127168e-71
2005-03-01,2,0,3.948337747137636e-82,3.948337747137636e-82,3.585051133507688e-66,1.0,8.410658008478049e-69,1.3713305271819247e-77,7.399901424202426e-71
2005-04-01,2,0,9.876616335423845e-83,9.876616335423845e-83,8.868256535534912e-68,1.0,7.386697790694162e-70,2.748488361189593e-79,5.282849652862206e-74
2005-05-01,2,0,1.602848256414043e-83,1.602848256414043e-83,1.0052594109936034e-67,1.0,1.867039413185996e-70,2.613363313386364e-82,3.3830338871546075e-73
2005-06-01,2,0,7.466617048505968e-86,7.466617048505968e-86,3.8539392529327097e-67,1.0,4.432565551076757e-70,1.491939350515221e-79,3.2396149484415437e-71
2005-07-01,2,0,1.7582155888908914e-82,1.7582155888908914e-82,3.7226328719736593e-66,1.0,3.229774487735323e-69,4.665025092217615e-77,2.2789259927305677e-70
2005-08-01,2,0,9.129230660071966e-78,9.129230660071966e-78,1.5160024720699597e-65,1.0,1.810301334111661e-65,1.633931327405635e-74,2.5787348697444747e-68
2005-09-01,2,0,3.463825146448321e-78,3.463825146448321e-78,1.1363999077883396e-64,1.0,7.41036445965854e-67,1.629484191924937e-74,3.0866359869454267e-69
2005-10-01,2,0,8.588326516395265e-79,8.588326516395265e-79,1.090890835128945e-66,1.0,1.7060678428204695e-67,3.0913901415935076e-75,1.3746545341182125e-71
2005-11-01,2,0,1.0587703261378622e-78,1.0587703261378622e-78,9.166182855330794e-66,1.0,1.5581790435332356e-68,6.410528988944385e-79,1.998619272554763e-70
2005-12-01,2,0,2.2456490870739443e-81,2.2456490870739443e-81,1.786796084749062e-64,1.0,6.1720209319652656e-68,1.7595460800467765e-76,2.344975383064449e-68
2006-01-01,2,0,2.5846119872786823e-78,2.5846119872786823e-78,5.83048086506831e-63,1.0,5.073050832270699e-66,3.878965839122829e-73,3.6118907829232365e-66
2006-02-01,2,0,5.007405363608532e-77,5.007405363608532e-77,5.24889347619144e-63,1.0,1.0932251088545414e-65,7.861057768045044e-73,1.2239629205353152e-67
2006-03-01,2,0,5.051134978994858e-75,5.051134978994858e-75,1.871318529160695e-61,1.0,1.321301643777515e-64,6.477742536727998e-73,1.3682061770371999e-64
2006-04-01,2,0,2.2204418169464495e-75,2.2204418169464495e-75,3.090707638533758e-60,1.0,4.852345279550189e-63,1.3834752699148074e-69,3.537478906742671e-63
2006-05-01,2,0,3.11746075216612e-72,3.11746075216612e-72,4.463563238371189e-59,1.0,3.772971383063907e-62,6.5144537102415376e-68,1.976813665847845e-62
2006-06-01,2,0,1.5537333412638356e-70,1.5537333412638356e-70,1.3081354447692898e-57,1.0,5.2015370588378415e-61,2.1071993925192282e-67,6.238062076357438e-61
2006-07-01,2,0,7.79040353496317e-70,7.79040353496317e-70,1.7760062846959588e-56,1.0,1.493380678909653e-59,1.34402520132861e-66,1.2730463579834295e-59
2006-08-01,2,0,2.4813382917581067e-69,2.4813382917581067e-69,8.255706939714448e-56,1.0,2.234203347917991e-58,1.4235181420887462e-66,1.5864578840864393e-59
2006-09-01,2,0,1.2385701194544998e-69,1.2385701194544998e-69,2.6465393025795615e-55,1.0,6.84412016702875e-58,4.187038042471332e-66,2.992130322430562e-59
2006-10-01,2,0,1.504238610149326e-68,1.504238610149326e-68,6.716039407129219e-54,1.0,2.101250030516727e-57,5.846740121589361e-65,3.689031249356546e-57
2006-11-01,2,0,1.170795539470157e-38,1.170795539470157e-38,1.2011083902754405e-24,1.0,2.674464894674861e-27,2.0712036884344785e-34,6.20671992476834e-27
2006-12-01,1,0,1.988944518999615e-14,1.988944518999615e-14,0.9992904018997916,1.1145682122973833e-06,0.0005768329988363033,2.4434085735438323e-10,0.00013165028899761555
