,state,crisis,p_crisis,p_state0,p_state1,p_state2,p_state3,p_state4,p_state5
2004-01-01,5,0,5.552645769817411e-07,5.552645769817411e-07,1.391328316730558e-11,2.0914414831404217e-09,0.0010033873878745824,0.07935855343565586,0.9196375018063568
2004-02-01,5,0,2.293094643062566e-07,2.293094643062566e-07,2.3803709926717e-07,8.469718487266222e-10,0.00894034525419118,0.0021847980411829784,0.9888743885111457
2004-03-01,5,0,9.296618568516402e-08,9.296618568516402e-08,2.0801931734670236e-08,7.665991986086958e-11,0.002802654551999034,0.0005108900896798423,0.996686341513093
2004-04-01,5,0,0.0009465082798893283,0.0009465082798893283,4.616847474132298e-07,3.101922460890571e-08,0.00028470996142019504,0.19319788806752328,0.8055704009873436
2004-05-01,5,0,1.5980040751375471e-07,1.5980040751375471e-07,1.1142093746173058e-07,1.9684204041370343e-07,0.0005943402591278667,0.009001454375018567,0.990403737302389
2004-06-01,5,0,3.518298645976111e-08,3.518298645976111e-08,1.1443559321350655e-10,9.7702557093452e-10,0.0007634451484778851,0.0018849427138381762,0.9973515758627938
2004-07-01,5,0,1.2923683877513753e-06,1.2923683877513753e-06,4.1811665173940933e-07,1.8421635720605583e-10,0.00857469568699393,0.0009332170022643466,0.9904903766418516
2004-08-01,5,0,1.9179567014091337e-08,1.9179567014091337e-08,2.016603351898638e-08,1.7286887167117458e-09,0.0019711008617971375,0.0006070409585696531,0.9974218171053494
2004-09-01,5,0,1.2418585821821928e-07,1.2418585821821928e-07,1.2505521486794083e-07,2.8238908755623406e-11,3.3032365916236396e-05,0.002327225979298593,0.9976394923854834
2004-10-01,5,0,7.583301662076954e-08,7.583301662076954e-08,2.615077964799231e-07,3.8624978749450686e-11,2.7532558813678592e-05,0.00048815207222399924,0.9994839779898492
2004-11-01,5,0,2.7045092106057905e-07,2.7045092106057905e-07,3.0564230265877775e-08,9.34124369098971e-11,1.6614787935714437e-06,0.0010669100566151047,0.9989311273563954
2004-12-01,5,0,1.1792590549633962e-07,1.1792590549633962e-07,1.3150759500358405e-08,6.991590637300086e-11,2.311566745870218e-05,0.001528559925542421,0.9984481932601285
2005-01-01,5,0,5.303020335535995e-08,5.303020335535995e-08,5.789942048384424e-07,1.4472220623344517e-10,8.178636492990337e-05,0.00021932755159196122,0.9996982539139241
2005-02-01,5,0,9.439219181370774e-07,9.439219181370774e-07,1.1761205079929595e-05,1.2999359221620698e-10,1.4873075697372011e-06,0.0002976021193704748,0.9996882053156987
2005-03-01,5,0,4.6993017072656205e-07,4.6993017072656205e-07,5.566178507103064e-06,7.388526019859938e-10,1.0973923480532475e-06,0.00032681591597872776,0.999666049844481
