gamma,rebalance_month,strategy,var_v,objective,theta_used,max_weight,herfindahl,effective_n_assets,solver,dual_norm,prev_month,prev_hard_regime
0.005,2014-01-01,SAA_CVaR,0.043978482034295566,0.07022013165822483,0.0,0.5503790154010851,0.4320275707984165,2.3146670897691357,linprog-highs,0.5503790154010851,2013-12-01,Steady_State
0.005,2014-01-01,RS_CVaR,0.044206647933964914,0.05694494050100827,0.0,0.5979583435485373,0.4384350190497317,2.280839706115195,linprog-highs,0.5979583435485373,2013-12-01,Steady_State
0.005,2014-01-01,DR_CVaR_l1,0.045987705126199284,0.0940953609047816,0.0030977893312706785,0.25864670761435155,0.25089718663081695,3.98569634609515,linprog-highs,0.25864670761435155,2013-12-01,Steady_State
0.005,2014-01-01,RSDR_CVaR_l1,0.03388694791236179,0.07721968304052676,0.0033816243955619935,0.2343511479685821,0.19477846812477068,5.134037707696842,linprog-highs,0.2343511479685821,2013-12-01,Steady_State
0.005,2014-02-01,SAA_CVaR,0.043978482034295566,0.07022013165822483,0.0,0.5503790154010851,0.4320275707984165,2.3146670897691357,linprog-highs,0.5503790154010851,2014-01-01,WOI
0.005,2014-02-01,RS_CVaR,0.052031010082109766,0.06824611277157153,0.0,0.666255750985097,0.5552819494712372,1.8008869205135192,linprog-highs,0.666255750985097,2014-01-01,WOI
0.005,2014-02-01,DR_CVaR_l1,0.045987705126199284,0.0940953609047816,0.0030977893312706785,0.25864670761435155,0.25089718663081695,3.98569634609515,linprog-highs,0.25864670761435155,2014-01-01,WOI
0.005,2014-02-01,RSDR_CVaR_l1,0.05108505220151197,0.09038618403785352,0.0034250344103683755,0.19921239938312257,0.18014875651158896,5.550968096389108,linprog-highs,0.19921239938312252,2014-01-01,WOI
0.005,2014-03-01,SAA_CVaR,0.043978482034295566,0.07022013165822483,0.0,0.5503790154010851,0.4320275707984165,2.3146670897691357,linprog-highs,0.5503790154010851,2014-02-01,Steady_State
0.005,2014-03-01,RS_CVaR,0.044206647933964914,0.057216380470292115,0.0,0.5979583435485373,0.4384350190497317,2.280839706115195,linprog-highs,0.5979583435485373,2014-02-01,Steady_State
