gamma,rebalance_month,strategy,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
0.005,2014-01-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.005,2014-01-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5979583435485373,0.1954489493100007,0.20659270714146202,0.0
0.005,2014-01-01,DR_CVaR_l1,0.0,0.0,0.0,0.0,0.0,0.0,0.25864670761435155,0.25864670761435155,0.25864670761435155,0.2240598771569453
0.005,2014-01-01,RSDR_CVaR_l1,0.0,0.08838569243833982,0.08917680792608,0.0,0.0,0.11938405572983393,0.2343511479685821,0.2343511479685821,0.2343511479685821,0.0
0.005,2014-02-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.005,2014-02-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.666255750985097,0.0,0.33374424901490296,0.0
0.005,2014-02-01,DR_CVaR_l1,0.0,0.0,0.0,0.0,0.0,0.0,0.25864670761435155,0.25864670761435155,0.25864670761435155,0.2240598771569453
0.005,2014-02-01,RSDR_CVaR_l1,0.0,0.12121436145396841,0.0,0.0,0.0,0.08193604101354156,0.19921239938312252,0.19921239938312252,0.19921239938312252,0.19921239938312257
0.005,2014-03-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.005,2014-03-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5979583435485373,0.1954489493100007,0.20659270714146202,0.0
0.005,2014-03-01,DR_CVaR_l1,0.0,0.0,0.0,0.0,0.0,0.0,0.25864670761435155,0.25864670761435155,0.25864670761435155,0.2240598771569453
0.005,2014-03-01,RSDR_CVaR_l1,0.0,0.006747448807875894,0.09106133832292512,0.0,0.0,0.21461129484855218,0.21461129484855218,0.21461129484855218,0.21461129484855218,0.04374603347499046
0.005,2014-04-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.005,2014-04-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5979583435485373,0.1954489493100007,0.20659270714146202,0.0
0.005,2014-04-01,DR_CVaR_l1,0.0,0.0,0.0,0.0,0.0,0.0,0.25864670761435155,0.25864670761435155,0.25864670761435155,0.2240598771569453
0.005,2014-04-01,RSDR_CVaR_l1,0.0,0.08838569243834055,0.08917680792608013,0.0,0.0,0.1193840557298334,0.23435114796858203,0.23435114796858203,0.23435114796858203,0.0
0.005,2014-05-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.005,2014-05-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5979583435485373,0.1954489493100007,0.20659270714146202,0.0
0.005,2014-05-01,DR_CVaR_l1,0.0,0.0,0.0,0.0,0.0,0.0,0.25864670761435155,0.25864670761435155,0.25864670761435155,0.2240598771569453
0.005,2014-05-01,RSDR_CVaR_l1,0.0,0.12694336972744086,0.10383773830613785,0.0,0.0,0.046448168892040564,0.240923574358127,0.240923574358127,0.240923574358127,0.0
0.005,2014-06-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.005,2014-06-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
0.005,2014-06-01,DR_CVaR_l1,0.0,0.0,0.0,0.0,0.0,0.0,0.25864670761435155,0.25864670761435155,0.25864670761435155,0.2240598771569453
0.005,2014-06-01,RSDR_CVaR_l1,0.0,0.0,0.0,0.0,0.0,0.04081037142023436,0.2397974071449414,0.2397974071449414,0.2397974071449414,0.2397974071449414
0.005,2014-07-01,SAA_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.5503790154010851,0.10642342520870686,0.343197559390208,0.0
0.005,2014-07-01,RS_CVaR,0.0,0.0,0.0,0.0,0.0,0.0,0.7875893220778258,0.21241067792217416,0.0,0.0
