,RF
2002-01-02,7.5471124928006e-05
2002-01-03,6.767591914114135e-05
2002-01-04,6.338204629385835e-05
2002-01-07,6.338204629385835e-05
2002-01-08,6.338204629385835e-05
2002-01-09,6.845612637285114e-05
2002-01-10,7.118564917729664e-05
2002-01-11,6.728575822556593e-05
2002-01-14,7.001608264878278e-05
2002-01-15,6.884617270408455e-05
2002-01-16,6.650532175767054e-05
2002-01-17,6.611504619025155e-05
2002-01-18,6.728575822556593e-05
2002-01-21,6.728575822556593e-05
2002-01-22,7.23548724916867e-05
2002-01-23,7.118564917729664e-05
2002-01-24,7.079583181268667e-05
2002-01-25,7.001608264878278e-05
2002-01-28,7.040597630569856e-05
2002-01-29,7.001608264878278e-05
2002-01-30,7.001608264878278e-05
2002-01-31,7.274453736161313e-05
2002-02-01,6.962615083461188e-05
2002-02-04,6.845612637285114e-05
2002-02-05,6.455356152268443e-05
2002-02-06,6.533438035116745e-05
2002-02-07,6.845612637285114e-05
2002-02-08,6.650532175767054e-05
2002-02-11,6.923618085541428e-05
2002-02-12,6.767591914114135e-05
2002-02-13,6.884617270408455e-05
2002-02-14,7.118564917729664e-05
2002-02-15,6.806604185438658e-05
2002-02-18,6.806604185438658e-05
2002-02-19,6.962615083461188e-05
2002-02-20,6.923618085541428e-05
2002-02-21,6.962615083461188e-05
2002-02-22,6.728575822556593e-05
2002-02-25,7.079583181268667e-05
2002-02-26,6.962615083461188e-05
2002-02-27,6.923618085541428e-05
2002-02-28,7.196516950935816e-05
2002-03-01,7.001608264878278e-05
2002-03-04,6.611504619025155e-05
2002-03-05,6.416309471890536e-05
2002-03-06,6.728575822556593e-05
2002-03-07,6.962615083461188e-05
2002-03-08,6.650532175767054e-05
2002-03-11,6.884617270408455e-05
2002-03-12,6.611504619025155e-05
2002-03-13,6.806604185438658e-05
2002-03-14,7.040597630569856e-05
2002-03-15,7.079583181268667e-05
2002-03-18,6.728575822556593e-05
2002-03-19,6.572473239052634e-05
2002-03-20,7.001608264878278e-05
2002-03-21,6.845612637285114e-05
2002-03-22,6.611504619025155e-05
2002-03-25,6.884617270408455e-05
2002-03-26,6.728575822556593e-05
2002-03-27,6.650532175767054e-05
2002-03-28,6.962615083461188e-05
2002-03-29,6.845612637285114e-05
2002-04-01,7.39133033709205e-05
2002-04-02,6.845612637285114e-05
2002-04-03,7.118564917729664e-05
2002-04-04,6.845612637285114e-05
2002-04-05,6.689555910033285e-05
2002-04-08,6.767591914114135e-05
2002-04-09,6.611504619025155e-05
2002-04-10,6.806604185438658e-05
2002-04-11,7.196516950935816e-05
2002-04-12,7.040597630569856e-05
2002-04-15,7.23548724916867e-05
2002-04-16,6.611504619025155e-05
2002-04-17,6.806604185438658e-05
2002-04-18,6.728575822556593e-05
2002-04-19,6.572473239052634e-05
2002-04-22,6.806604185438658e-05
2002-04-23,6.728575822556593e-05
2002-04-24,6.923618085541428e-05
2002-04-25,7.157542840707798e-05
2002-04-26,7.040597630569856e-05
2002-04-29,7.118564917729664e-05
2002-04-30,7.157542840707798e-05
2002-05-01,7.39133033709205e-05
2002-05-02,7.040597630569856e-05
2002-05-03,6.806604185438658e-05
2002-05-06,6.884617270408455e-05
2002-05-07,6.767591914114135e-05
2002-05-08,6.728575822556593e-05
2002-05-09,6.845612637285114e-05
2002-05-10,6.845612637285114e-05
2002-05-13,6.884617270408455e-05
2002-05-14,6.650532175767054e-05
2002-05-15,7.23548724916867e-05
2002-05-16,6.923618085541428e-05
2002-05-17,6.689555910033285e-05
2002-05-20,6.767591914114135e-05
2002-05-21,6.611504619025155e-05
2002-05-22,6.806604185438658e-05
2002-05-23,6.923618085541428e-05
2002-05-24,6.884617270408455e-05
2002-05-27,6.884617270408455e-05
2002-05-28,7.39133033709205e-05
2002-05-29,7.040597630569856e-05
2002-05-30,7.079583181268667e-05
2002-05-31,7.040597630569856e-05
2002-06-03,7.196516950935816e-05
2002-06-04,6.806604185438658e-05
2002-06-05,6.689555910033285e-05
2002-06-06,6.884617270408455e-05
2002-06-07,6.806604185438658e-05
2002-06-10,6.923618085541428e-05
2002-06-11,6.767591914114135e-05
2002-06-12,6.884617270408455e-05
2002-06-13,6.923618085541428e-05
2002-06-14,6.884617270408455e-05
2002-06-17,7.157542840707798e-05
2002-06-18,6.728575822556593e-05
2002-06-19,6.650532175767054e-05
2002-06-20,6.884617270408455e-05
2002-06-21,6.845612637285114e-05
2002-06-24,6.962615083461188e-05
2002-06-25,6.884617270408455e-05
2002-06-26,7.001608264878278e-05
2002-06-27,7.118564917729664e-05
2002-06-28,6.806604185438658e-05
2002-07-01,7.196516950935816e-05
2002-07-02,6.767591914114135e-05
2002-07-03,6.728575822556593e-05
2002-07-04,6.728575822556593e-05
2002-07-05,6.767591914114135e-05
2002-07-08,6.884617270408455e-05
2002-07-09,6.767591914114135e-05
2002-07-10,6.845612637285114e-05
2002-07-11,6.923618085541428e-05
2002-07-12,6.728575822556593e-05
2002-07-15,7.196516950935816e-05
2002-07-16,6.767591914114135e-05
2002-07-17,6.728575822556593e-05
2002-07-18,6.845612637285114e-05
2002-07-19,6.767591914114135e-05
2002-07-22,6.962615083461188e-05
2002-07-23,6.806604185438658e-05
2002-07-24,6.572473239052634e-05
2002-07-25,6.884617270408455e-05
2002-07-26,6.650532175767054e-05
2002-07-29,6.884617270408455e-05
2002-07-30,6.728575822556593e-05
2002-07-31,6.923618085541428e-05
2002-08-01,7.040597630569856e-05
2002-08-02,6.767591914114135e-05
2002-08-05,6.962615083461188e-05
2002-08-06,6.845612637285114e-05
2002-08-07,6.728575822556593e-05
2002-08-08,6.728575822556593e-05
2002-08-09,6.611504619025155e-05
2002-08-12,6.923618085541428e-05
2002-08-13,6.845612637285114e-05
2002-08-14,7.001608264878278e-05
2002-08-15,7.352375279379153e-05
2002-08-16,6.689555910033285e-05
2002-08-19,6.767591914114135e-05
2002-08-20,6.689555910033285e-05
2002-08-21,6.767591914114135e-05
2002-08-22,6.806604185438658e-05
2002-08-23,6.767591914114135e-05
2002-08-26,7.118564917729664e-05
2002-08-27,7.040597630569856e-05
2002-08-28,7.079583181268667e-05
2002-08-29,7.157542840707798e-05
2002-08-30,7.118564917729664e-05
2002-09-02,7.118564917729664e-05
2002-09-03,7.352375279379153e-05
2002-09-04,6.845612637285114e-05
2002-09-05,6.884617270408455e-05
2002-09-06,6.728575822556593e-05
2002-09-09,6.923618085541428e-05
2002-09-10,6.845612637285114e-05
2002-09-11,6.767591914114135e-05
2002-09-12,6.845612637285114e-05
2002-09-13,6.767591914114135e-05
2002-09-16,7.196516950935816e-05
2002-09-17,6.767591914114135e-05
