,Equity,Interest_Rates,Credit,Commodities,Emerging_Markets,Foreign_Currency,Local_Inflation,Short_Volatility,Trend_Following,Local_Equity,FF_Market,FF_SMB,FF_HML,FF_RMW,FF_CMA
Equity,1.0,-0.196210078219496,-0.019082242620423674,0.03997214141669331,-0.007198040198717673,0.07980974140238481,0.021475167064873013,-0.12228371976607025,-0.15604903360698558,0.006206492820760039,0.0035542429351890525,0.06929999295112169,0.04572075513962634,-0.005545194241271126,-0.004552979861798874
Interest_Rates,-0.196210078219496,1.0,0.0024206740808611097,-0.01832187108253492,0.02064251970982549,-0.004389768767222658,-0.00464872122478916,0.006420581486744649,0.05861497730613299,-0.011629398395559582,-0.008356003527800266,0.001182424025386779,-0.004673702790877866,-0.007039051010173781,0.012712298245237227
Credit,-0.019082242620423674,0.0024206740808611097,1.0,0.05115926785011128,0.0014310999477687044,0.015352357840663078,-0.01841068581171918,0.05957369550503447,-0.025641070719713673,0.03768898701023563,0.03230894666606556,-0.013703301280009546,0.0076999074906880325,-0.0001637149740143456,0.0019812681899606453
Commodities,0.03997214141669331,-0.01832187108253492,0.05115926785011128,1.0,0.006997313067851831,0.019305927366886855,0.0056964319833563565,-0.005881266165697618,-0.07800641136386881,0.0006232794652225345,-0.00024534314608663424,-0.006150612062940581,0.00338882729867672,0.0032746209924020614,0.005500846705549262
Emerging_Markets,-0.007198040198717673,0.02064251970982549,0.0014310999477687044,0.006997313067851831,1.0,-0.07340511195489795,-0.17252293605256092,-0.22641445452316228,-0.018639467998622605,-0.44218782732762285,-0.40404746330554775,0.003123906924671232,-0.0036710018901809855,-0.00899497750428642,0.007857525259509003
Foreign_Currency,0.07980974140238481,-0.004389768767222658,0.015352357840663078,0.019305927366886855,-0.07340511195489795,1.0,0.19005375597909865,-0.035348001986566395,0.009627256737061567,0.046479992726071506,0.045856809813594655,0.013455383145796168,-0.00781738777723001,-0.0102175807380489,0.022344669630961128
Local_Inflation,0.021475167064873013,-0.00464872122478916,-0.01841068581171918,0.0056964319833563565,-0.17252293605256092,0.19005375597909865,1.0,-0.04524376284786745,0.0743564314252437,-0.06515959607074245,-0.05749586442481084,0.0008781878295544024,-0.004301575929665954,-0.0018974982033043047,-0.018987129008798648
Short_Volatility,-0.12228371976607025,0.006420581486744649,0.05957369550503447,-0.005881266165697618,-0.22641445452316228,-0.035348001986566395,-0.04524376284786745,1.0,0.10211262175666959,0.5702590092331425,0.5182508127136181,-0.05592257022005782,-0.010202142313317956,0.0019016896829267787,0.003636194651854645
Trend_Following,-0.15604903360698558,0.05861497730613299,-0.025641070719713673,-0.07800641136386881,-0.018639467998622605,0.009627256737061567,0.0743564314252437,0.10211262175666959,1.0,-0.022461352113453122,-0.019087004938312408,-0.05387965026367298,-0.05829668834646101,0.003727342489793821,0.047176569929549675
Local_Equity,0.006206492820760039,-0.011629398395559582,0.03768898701023563,0.0006232794652225345,-0.44218782732762285,0.046479992726071506,-0.06515959607074245,0.5702590092331425,-0.022461352113453122,1.0,0.9117562015984779,0.2177530977553616,0.06654573484040067,-0.0852325849964352,-0.043516940276378355
FF_Market,0.0035542429351890525,-0.008356003527800266,0.03230894666606556,-0.00024534314608663424,-0.40404746330554775,0.045856809813594655,-0.05749586442481084,0.5182508127136181,-0.019087004938312408,0.9117562015984779,1.0,0.2264821820814581,0.04381143911872486,-0.1203913719031032,-0.07066729852488325
FF_SMB,0.06929999295112169,0.001182424025386779,-0.013703301280009546,-0.006150612062940581,0.003123906924671232,0.013455383145796168,0.0008781878295544024,-0.05592257022005782,-0.05387965026367298,0.2177530977553616,0.2264821820814581,1.0,0.20755066784111775,-0.25984589076690867,0.04403301083673361
FF_HML,0.04572075513962634,-0.004673702790877866,0.0076999074906880325,0.00338882729867672,-0.0036710018901809855,-0.00781738777723001,-0.004301575929665954,-0.010202142313317956,-0.05829668834646101,0.06654573484040067,0.04381143911872486,0.20755066784111775,1.0,0.08394561022917334,0.42163118326206356
FF_RMW,-0.005545194241271126,-0.007039051010173781,-0.0001637149740143456,0.0032746209924020614,-0.00899497750428642,-0.0102175807380489,-0.0018974982033043047,0.0019016896829267787,0.003727342489793821,-0.0852325849964352,-0.1203913719031032,-0.25984589076690867,0.08394561022917334,1.0,0.1346249648823499
FF_CMA,-0.004552979861798874,0.012712298245237227,0.0019812681899606453,0.005500846705549262,0.007857525259509003,0.022344669630961128,-0.018987129008798648,0.003636194651854645,0.047176569929549675,-0.043516940276378355,-0.07066729852488325,0.04403301083673361,0.42163118326206356,0.1346249648823499,1.0
