gamma,regime_source,month,strategy,return,predicted_state
0.02,altdata_bnmeanrank_hmm,2010-01-01,SAA-CVaR,-0.023767405751392856,3
0.02,altdata_bnmeanrank_hmm,2010-01-01,DR-CVaR,-0.030746888888888872,3
0.02,altdata_bnmeanrank_hmm,2010-01-01,RS-CVaR,-0.022896696778361033,3
0.02,altdata_bnmeanrank_hmm,2010-01-01,RSDR-CVaR,-0.0363112,3
0.02,altdata_bnmeanrank_hmm,2010-02-01,SAA-CVaR,0.03077786034685512,3
0.02,altdata_bnmeanrank_hmm,2010-02-01,DR-CVaR,0.029194222222222267,3
0.02,altdata_bnmeanrank_hmm,2010-02-01,RS-CVaR,0.014373616768183675,3
0.02,altdata_bnmeanrank_hmm,2010-02-01,RSDR-CVaR,0.030332555555555543,3
0.02,altdata_bnmeanrank_hmm,2010-03-01,SAA-CVaR,0.035590450615409115,3
0.02,altdata_bnmeanrank_hmm,2010-03-01,DR-CVaR,0.055861,3
0.02,altdata_bnmeanrank_hmm,2010-03-01,RS-CVaR,0.029760510160909238,3
0.02,altdata_bnmeanrank_hmm,2010-03-01,RSDR-CVaR,0.057057,3
0.02,altdata_bnmeanrank_hmm,2010-04-01,SAA-CVaR,-0.012333248785294295,3
0.02,altdata_bnmeanrank_hmm,2010-04-01,DR-CVaR,0.018019555555555553,3
0.02,altdata_bnmeanrank_hmm,2010-04-01,RS-CVaR,-0.00042461750905544316,3
0.02,altdata_bnmeanrank_hmm,2010-04-01,RSDR-CVaR,0.016858777777777768,3
0.02,altdata_bnmeanrank_hmm,2010-05-01,SAA-CVaR,-0.053933725009065715,3
0.02,altdata_bnmeanrank_hmm,2010-05-01,DR-CVaR,-0.07649466666666666,3
0.02,altdata_bnmeanrank_hmm,2010-05-01,RS-CVaR,-0.07414708924881848,3
0.02,altdata_bnmeanrank_hmm,2010-05-01,RSDR-CVaR,-0.07877722222222222,3
0.02,altdata_bnmeanrank_hmm,2010-06-01,SAA-CVaR,-0.023444955775618916,3
0.02,altdata_bnmeanrank_hmm,2010-06-01,DR-CVaR,-0.04838666666666667,3
0.02,altdata_bnmeanrank_hmm,2010-06-01,RS-CVaR,-0.020641716379127047,3
0.02,altdata_bnmeanrank_hmm,2010-06-01,RSDR-CVaR,-0.05020181364514957,3
0.02,altdata_bnmeanrank_hmm,2010-07-01,SAA-CVaR,0.04353291794890001,3
0.02,altdata_bnmeanrank_hmm,2010-07-01,DR-CVaR,0.06901177777777778,3
0.02,altdata_bnmeanrank_hmm,2010-07-01,RS-CVaR,0.061604830061693774,3
0.02,altdata_bnmeanrank_hmm,2010-07-01,RSDR-CVaR,0.074941,3
0.02,altdata_bnmeanrank_hmm,2010-08-01,SAA-CVaR,-0.018077810499554064,3
0.02,altdata_bnmeanrank_hmm,2010-08-01,DR-CVaR,-0.039806999999999995,3
0.02,altdata_bnmeanrank_hmm,2010-08-01,RS-CVaR,-0.01144967166092461,3
0.02,altdata_bnmeanrank_hmm,2010-08-01,RSDR-CVaR,-0.038856600000000005,3
0.02,altdata_bnmeanrank_hmm,2010-09-01,SAA-CVaR,0.07077184768627427,3
0.02,altdata_bnmeanrank_hmm,2010-09-01,DR-CVaR,0.08571322222222222,3
0.02,altdata_bnmeanrank_hmm,2010-09-01,RS-CVaR,0.05426701990358923,3
0.02,altdata_bnmeanrank_hmm,2010-09-01,RSDR-CVaR,0.084894,3
0.02,altdata_bnmeanrank_hmm,2010-10-01,SAA-CVaR,0.029019323089591806,3
0.02,altdata_bnmeanrank_hmm,2010-10-01,DR-CVaR,0.03520688888888889,3
0.02,altdata_bnmeanrank_hmm,2010-10-01,RS-CVaR,0.027399918836631683,3
0.02,altdata_bnmeanrank_hmm,2010-10-01,RSDR-CVaR,0.03784850000000001,3
0.02,altdata_bnmeanrank_hmm,2010-11-01,SAA-CVaR,-0.01954193247824651,3
0.02,altdata_bnmeanrank_hmm,2010-11-01,DR-CVaR,-8.97777777777789e-05,3
0.02,altdata_bnmeanrank_hmm,2010-11-01,RS-CVaR,-0.018777643538178027,3
0.02,altdata_bnmeanrank_hmm,2010-11-01,RSDR-CVaR,0.001039900000000002,3
0.02,altdata_bnmeanrank_hmm,2010-12-01,SAA-CVaR,0.04463115204812709,3
0.02,altdata_bnmeanrank_hmm,2010-12-01,DR-CVaR,0.06209466666666667,3
0.02,altdata_bnmeanrank_hmm,2010-12-01,RS-CVaR,0.04117530838875091,3
0.02,altdata_bnmeanrank_hmm,2010-12-01,RSDR-CVaR,0.0658966,3
0.02,altdata_bnmeanrank_hmm,2011-01-01,SAA-CVaR,-0.00789215921830262,3
0.02,altdata_bnmeanrank_hmm,2011-01-01,DR-CVaR,0.021264000000000005,3
0.02,altdata_bnmeanrank_hmm,2011-01-01,RS-CVaR,-0.006284630068706713,3
0.02,altdata_bnmeanrank_hmm,2011-01-01,RSDR-CVaR,0.018616895030027503,3
0.02,altdata_bnmeanrank_hmm,2011-02-01,SAA-CVaR,0.03011789419438276,3
0.02,altdata_bnmeanrank_hmm,2011-02-01,DR-CVaR,0.034624111111111106,3
0.02,altdata_bnmeanrank_hmm,2011-02-01,RS-CVaR,0.02608248673058522,3
0.02,altdata_bnmeanrank_hmm,2011-02-01,RSDR-CVaR,0.03381520000000002,3
0.02,altdata_bnmeanrank_hmm,2011-03-01,SAA-CVaR,0.013921421115287292,3
0.02,altdata_bnmeanrank_hmm,2011-03-01,DR-CVaR,0.002927333333333332,3
0.02,altdata_bnmeanrank_hmm,2011-03-01,RS-CVaR,0.010593985420513432,3
0.02,altdata_bnmeanrank_hmm,2011-03-01,RSDR-CVaR,0.004366999999999999,3
0.02,altdata_bnmeanrank_hmm,2011-04-01,SAA-CVaR,0.05705521738869795,3
0.02,altdata_bnmeanrank_hmm,2011-04-01,DR-CVaR,0.031962444444444446,3
0.02,altdata_bnmeanrank_hmm,2011-04-01,RS-CVaR,0.048080052872064856,3
