,MXCXDMHR,LGY7TRUH,LUACTRUU,LF98TRUU,LP05TRUH,LP01TRUH,BCOMTR,MXEF,EMUSTRUU,BCIT5T,PUT,MXWD,LEGATRUU,RU30INTR,SPGSCITR,LBUSTRUU,JPEIGLBL,M1EF
2002-01-02,102.13,327.0332,1197.28,544.72,116.37,92.92,150.279,321.94,270.9574,131.783,618.35,240.96,224.4459,2418.16,2891.268,1004.79,200.43,98.83
2002-01-03,103.32,327.556,1201.48,544.92,116.5,92.95,149.855,326.08,273.3359,132.171,621.0,243.57,224.5226,2442.57,2843.235,1007.13,202.37,100.1
2002-01-04,104.02,326.3992,1200.26,546.24,116.36,93.16,152.906,332.53,273.8688,131.961,622.4,245.1,223.8919,2459.8,2929.873,1006.82,202.82,102.08
2002-01-07,103.45,328.0601,1207.64,548.24,116.94,94.8,154.458,335.57,274.3783,132.416,621.95,243.61,224.6208,2442.45,2929.199,1012.11,203.03,103.02
2002-01-08,102.74,327.9567,1207.16,549.02,116.97,96.09,153.983,333.19,273.9799,132.402,621.85,241.73,224.175,2437.0,2914.1,1012.14,202.53,102.29
2002-01-09,102.39,327.6164,1209.15,549.73,116.68,96.43,153.089,333.18,273.2316,132.564,621.25,240.8,223.9309,2425.56,2844.058,1013.06,202.59,102.29
2002-01-10,101.97,328.1578,1215.42,550.11,116.98,96.51,152.814,328.15,272.7444,133.155,622.02,240.04,224.8799,2427.66,2853.264,1017.9,201.75,100.75
2002-01-11,101.47,328.5927,1219.35,551.08,116.96,96.46,152.315,325.83,273.1006,133.597,620.6,238.82,225.3792,2406.41,2822.296,1022.05,202.44,100.04
2002-01-14,100.47,329.532,1219.45,551.58,117.37,96.79,150.785,325.55,273.0445,133.631,620.04,236.79,225.9932,2387.42,2761.249,1022.19,202.23,99.95
2002-01-15,100.9,329.2416,1221.9,550.54,117.3,96.35,151.002,322.35,273.194,133.597,622.96,237.61,225.9852,2403.49,2769.412,1023.3,202.17,98.97
2002-01-16,99.65,329.5412,1220.83,549.67,117.45,96.36,152.449,318.86,273.1802,133.238,618.63,234.1,225.243,2365.4,2789.334,1022.52,202.3,97.9
2002-01-17,100.55,328.7931,1214.57,549.99,117.36,96.38,149.547,321.01,274.0922,132.923,623.63,235.98,224.3457,2389.78,2718.019,1018.3,202.88,98.56
2002-01-18,100.03,328.3829,1218.04,550.11,117.22,96.39,148.472,320.6,274.8873,133.147,617.53,234.78,224.4225,2364.81,2709.181,1020.38,203.38,98.44
2002-01-21,99.89,328.5061,1218.04,550.11,117.42,96.48,148.472,323.01,274.8873,133.147,617.53,234.51,224.5513,2364.81,2709.181,1020.38,203.38,99.17
2002-01-22,99.37,327.9612,1218.56,550.4,117.17,96.47,147.516,322.24,275.603,133.111,615.87,232.89,223.8163,2345.34,2707.43,1020.41,204.14,98.94
2002-01-23,99.93,328.1023,1212.84,550.28,117.33,96.5,148.228,324.95,276.1581,132.959,619.65,234.3,223.659,2367.23,2741.536,1016.65,204.47,99.78
2002-01-24,100.57,326.8497,1212.27,551.28,116.91,96.51,148.812,326.33,276.1321,132.902,620.95,235.43,222.7058,2376.08,2756.683,1015.61,204.29,100.2
2002-01-25,100.61,325.6693,1211.47,551.44,116.59,94.09,149.01,328.45,275.5791,132.712,621.48,234.59,221.2957,2378.9,2773.469,1014.99,203.67,100.85
2002-01-28,100.9,325.9725,1212.05,551.77,116.59,94.16,147.457,329.62,275.4047,132.58,622.45,235.2,221.5428,2380.23,2759.531,1015.68,203.53,101.21
2002-01-29,98.75,326.29,1217.28,551.72,116.77,94.19,147.086,327.76,274.7794,132.838,610.96,230.23,222.0613,2318.48,2732.202,1019.68,202.87,100.64
2002-01-30,98.74,326.4047,1216.88,549.39,116.83,92.65,146.256,323.1,274.4628,133.105,616.47,230.26,222.2948,2344.13,2695.535,1019.79,202.52,99.21
2002-01-31,100.09,326.4615,1212.23,548.21,116.96,92.74,147.842,327.75,274.3569,133.118,622.36,233.26,221.796,2375.87,2735.262,1017.44,202.66,100.67
2002-02-01,99.6,326.5585,1213.98,548.4,117.05,92.77,150.005,327.03,274.0716,133.475,621.1,232.1,222.0427,2359.47,2804.816,1019.44,202.62,100.45
2002-02-04,97.81,327.5563,1216.42,548.69,117.32,92.83,149.512,325.44,274.5966,133.879,609.64,228.35,223.2895,2303.31,2779.848,1022.7,202.85,99.97
2002-02-05,97.02,327.5386,1211.4,547.2,117.3,92.68,149.841,325.78,275.3192,133.841,607.83,226.54,223.1012,2296.74,2775.003,1021.57,203.56,100.08
2002-02-06,96.44,327.3726,1209.23,547.23,117.1,92.71,148.843,327.39,275.5565,133.714,605.4,225.15,223.017,2279.15,2752.004,1020.57,204.02,100.58
2002-02-07,96.64,326.0163,1208.29,545.75,116.47,92.74,149.21,324.17,275.2785,133.575,603.48,225.58,222.5466,2270.07,2744.52,1019.87,203.45,99.59
2002-02-08,97.57,327.1258,1213.61,545.86,116.73,92.27,150.757,324.85,275.8528,133.823,612.41,227.83,222.9636,2305.64,2791.908,1022.83,203.96,99.8
2002-02-11,98.61,326.9869,1211.85,545.68,116.74,91.56,152.317,324.32,276.5014,133.696,620.88,230.79,223.3294,2337.34,2867.569,1022.51,204.4,99.64
2002-02-12,98.45,326.7617,1210.25,545.68,116.52,91.58,151.927,325.63,277.7984,133.496,619.15,230.59,223.5466,2330.1,2834.812,1020.41,205.07,100.04
2002-02-13,99.27,326.2139,1209.77,545.76,116.37,91.62,152.693,327.76,279.1036,133.645,624.67,232.26,223.0304,2353.65,2855.518,1019.8,206.3,100.69
2002-02-14,99.62,326.459,1211.8,545.29,116.52,91.12,151.811,334.75,279.668,134.053,624.48,233.06,223.367,2348.19,2843.343,1021.44,206.85,102.84
2002-02-15,98.69,327.4257,1217.44,545.91,116.76,90.6,151.608,334.42,279.9769,134.488,621.99,231.08,224.1113,2322.44,2846.033,1025.13,207.04,102.75
2002-02-18,98.54,327.5148,1217.44,545.91,116.8,90.69,151.608,334.45,279.9769,134.488,621.99,230.54,223.9436,2322.44,2846.033,1025.13,207.04,102.77
2002-02-19,96.77,327.2426,1215.93,543.62,116.73,90.71,150.758,330.81,280.3996,134.644,615.48,226.46,223.774,2277.97,2816.66,1024.68,207.41,101.66
2002-02-20,97.2,327.0813,1215.1,542.08,116.61,90.74,150.304,327.18,281.2602,135.128,621.68,227.25,223.4697,2309.2,2775.303,1024.73,208.11,100.56
2002-02-21,96.91,327.3399,1216.24,542.31,116.53,90.78,151.337,327.04,281.1955,135.06,615.45,226.4,223.3119,2273.07,2812.608,1025.45,208.07,100.52
2002-02-22,97.07,327.9,1219.29,541.05,116.82,87.31,151.041,326.82,281.7634,134.948,619.33,227.25,224.3564,2291.76,2815.125,1027.1,208.45,100.46
2002-02-25,98.38,327.5046,1219.47,540.45,116.62,87.43,148.914,327.58,282.8444,134.946,626.58,229.95,223.7359,2330.54,2757.272,1026.62,208.89,100.69
2002-02-26,98.56,327.146,1217.21,540.06,116.66,87.47,150.566,329.12,282.7607,134.698,626.66,230.13,223.0723,2332.25,2816.11,1024.42,208.8,101.18
