regime,start,end
WOI,2003-06-16,2003-06-17
Steady_State,2003-06-17,2003-06-18
WOI,2003-06-18,2003-06-24
Steady_State,2003-06-24,2003-06-25
WOI,2003-06-25,2003-06-30
Steady_State,2003-06-30,2003-07-01
WOI,2003-07-01,2003-07-04
Inflation,2003-07-04,2003-07-07
WOI,2003-07-07,2003-07-08
Steady_State,2003-07-08,2003-07-09
WOI,2003-07-09,2003-07-11
Steady_State,2003-07-11,2003-07-15
WOI,2003-07-15,2003-07-16
Steady_State,2003-07-16,2003-07-17
WOI,2003-07-17,2003-07-22
Steady_State,2003-07-22,2003-07-25
WOI,2003-07-25,2003-07-28
Steady_State,2003-07-28,2003-07-29
WOI,2003-07-29,2003-08-04
Steady_State,2003-08-04,2003-08-05
WOI,2003-08-05,2003-08-11
Steady_State,2003-08-11,2003-08-13
WOI,2003-08-13,2003-08-15
Steady_State,2003-08-15,2003-08-18
WOI,2003-08-18,2003-08-20
Steady_State,2003-08-20,2003-09-01
Crisis,2003-09-01,2003-09-02
WOI,2003-09-02,2003-09-03
Steady_State,2003-09-03,2003-09-05
WOI,2003-09-05,2003-09-08
Steady_State,2003-09-08,2003-09-09
WOI,2003-09-09,2003-09-11
Steady_State,2003-09-11,2003-09-16
WOI,2003-09-16,2003-09-17
Steady_State,2003-09-17,2003-09-18
WOI,2003-09-18,2003-09-19
Steady_State,2003-09-19,2003-09-22
WOI,2003-09-22,2003-09-23
Steady_State,2003-09-23,2003-09-24
WOI,2003-09-24,2003-10-02
Steady_State,2003-10-02,2003-10-03
WOI,2003-10-03,2003-10-06
Steady_State,2003-10-06,2003-10-17
WOI,2003-10-17,2003-10-20
Steady_State,2003-10-20,2003-10-22
WOI,2003-10-22,2003-10-24
Steady_State,2003-10-24,2003-10-28
WOI,2003-10-28,2003-10-29
Steady_State,2003-10-29,2003-11-03
WOI,2003-11-03,2003-11-04
Steady_State,2003-11-04,2003-11-11
WOI,2003-11-11,2003-11-12
Steady_State,2003-11-12,2003-11-17
WOI,2003-11-17,2003-11-18
Steady_State,2003-11-18,2003-11-19
WOI,2003-11-19,2003-11-25
Steady_State,2003-11-25,2003-11-27
Inflation,2003-11-27,2003-11-28
Steady_State,2003-11-28,2003-12-01
WOI,2003-12-01,2003-12-02
Steady_State,2003-12-02,2003-12-08
WOI,2003-12-08,2003-12-10
Steady_State,2003-12-10,2003-12-11
WOI,2003-12-11,2003-12-12
Steady_State,2003-12-12,2003-12-18
WOI,2003-12-18,2003-12-19
Steady_State,2003-12-19,2003-12-25
Inflation,2003-12-25,2003-12-26
Steady_State,2003-12-26,2004-01-01
Inflation,2004-01-01,2004-01-02
Steady_State,2004-01-02,2004-01-05
WOI,2004-01-05,2004-01-07
Steady_State,2004-01-07,2004-01-09
WOI,2004-01-09,2004-01-12
Steady_State,2004-01-12,2004-01-16
WOI,2004-01-16,2004-01-19
Inflation,2004-01-19,2004-01-20
Steady_State,2004-01-20,2004-01-21
WOI,2004-01-21,2004-01-22
Steady_State,2004-01-22,2004-01-26
WOI,2004-01-26,2004-01-27
Steady_State,2004-01-27,2004-01-28
WOI,2004-01-28,2004-01-30
Steady_State,2004-01-30,2004-02-04
WOI,2004-02-04,2004-02-05
Steady_State,2004-02-05,2004-02-06
WOI,2004-02-06,2004-02-09
Steady_State,2004-02-09,2004-02-16
Inflation,2004-02-16,2004-02-17
Steady_State,2004-02-17,2004-02-19
WOI,2004-02-19,2004-02-20
Steady_State,2004-02-20,2004-03-05
WOI,2004-03-05,2004-03-09
Steady_State,2004-03-09,2004-03-10
WOI,2004-03-10,2004-03-18
Steady_State,2004-03-18,2004-03-19
WOI,2004-03-19,2004-03-23
Steady_State,2004-03-23,2004-03-25
WOI,2004-03-25,2004-03-26
Steady_State,2004-03-26,2004-03-29
WOI,2004-03-29,2004-03-30
Steady_State,2004-03-30,2004-04-02
WOI,2004-04-02,2004-04-05
Steady_State,2004-04-05,2004-04-07
WOI,2004-04-07,2004-04-08
Steady_State,2004-04-08,2004-04-09
Inflation,2004-04-09,2004-04-12
Steady_State,2004-04-12,2004-04-13
WOI,2004-04-13,2004-04-16
Steady_State,2004-04-16,2004-04-20
WOI,2004-04-20,2004-04-23
Steady_State,2004-04-23,2004-04-27
WOI,2004-04-27,2004-04-30
Steady_State,2004-04-30,2004-05-03
WOI,2004-05-03,2004-05-04
Steady_State,2004-05-04,2004-05-06
WOI,2004-05-06,2004-05-14
Steady_State,2004-05-14,2004-05-17
WOI,2004-05-17,2004-05-20
Steady_State,2004-05-20,2004-05-25
WOI,2004-05-25,2004-05-26
Steady_State,2004-05-26,2004-05-31
Inflation,2004-05-31,2004-06-01
WOI,2004-06-01,2004-06-02
Steady_State,2004-06-02,2004-06-07
WOI,2004-06-07,2004-06-08
Steady_State,2004-06-08,2004-06-09
WOI,2004-06-09,2004-06-10
Steady_State,2004-06-10,2004-06-11
Inflation,2004-06-11,2004-06-14
WOI,2004-06-14,2004-06-16
Steady_State,2004-06-16,2004-06-25
WOI,2004-06-25,2004-06-29
Steady_State,2004-06-29,2004-07-01
WOI,2004-07-01,2004-07-02
Steady_State,2004-07-02,2004-07-05
Inflation,2004-07-05,2004-07-06
WOI,2004-07-06,2004-07-07
Steady_State,2004-07-07,2004-07-08
WOI,2004-07-08,2004-07-09
Steady_State,2004-07-09,2004-07-15
WOI,2004-07-15,2004-07-19
Steady_State,2004-07-19,2004-07-21
WOI,2004-07-21,2004-07-22
Steady_State,2004-07-22,2004-07-23
WOI,2004-07-23,2004-07-26
Steady_State,2004-07-26,2004-07-27
WOI,2004-07-27,2004-07-28
Steady_State,2004-07-28,2004-08-05
WOI,2004-08-05,2004-08-09
Steady_State,2004-08-09,2004-08-10
WOI,2004-08-10,2004-08-11
Steady_State,2004-08-11,2004-08-12
WOI,2004-08-12,2004-08-13
Steady_State,2004-08-13,2004-08-16
WOI,2004-08-16,2004-08-17
Steady_State,2004-08-17,2004-08-18
WOI,2004-08-18,2004-08-19
Steady_State,2004-08-19,2004-09-06
Inflation,2004-09-06,2004-09-07
Steady_State,2004-09-07,2004-09-22
WOI,2004-09-22,2004-09-23
Steady_State,2004-09-23,2004-10-13
WOI,2004-10-13,2004-10-15
Steady_State,2004-10-15,2004-10-26
WOI,2004-10-26,2004-10-28
Steady_State,2004-10-28,2004-11-04
WOI,2004-11-04,2004-11-05
Steady_State,2004-11-05,2004-11-12
WOI,2004-11-12,2004-11-15
Steady_State,2004-11-15,2004-11-25
Inflation,2004-11-25,2004-11-26
Steady_State,2004-11-26,2004-12-02
WOI,2004-12-02,2004-12-03
Steady_State,2004-12-03,2004-12-24
Inflation,2004-12-24,2004-12-27
Steady_State,2004-12-27,2005-01-04
WOI,2005-01-04,2005-01-06
Steady_State,2005-01-06,2005-01-13
WOI,2005-01-13,2005-01-14
Steady_State,2005-01-14,2005-01-17
Inflation,2005-01-17,2005-01-18
Steady_State,2005-01-18,2005-01-20
WOI,2005-01-20,2005-01-21
Steady_State,2005-01-21,2005-02-21
Inflation,2005-02-21,2005-02-22
WOI,2005-02-22,2005-02-23
Steady_State,2005-02-23,2005-02-25
WOI,2005-02-25,2005-02-28
Steady_State,2005-02-28,2005-03-09
WOI,2005-03-09,2005-03-10
Steady_State,2005-03-10,2005-03-15
WOI,2005-03-15,2005-03-18
Steady_State,2005-03-18,2005-03-21
WOI,2005-03-21,2005-03-24
Steady_State,2005-03-24,2005-03-25
Inflation,2005-03-25,2005-03-28
Steady_State,2005-03-28,2005-03-30
WOI,2005-03-30,2005-04-01
Steady_State,2005-04-01,2005-04-14
WOI,2005-04-14,2005-04-19
Steady_State,2005-04-19,2005-04-20
WOI,2005-04-20,2005-04-22
Steady_State,2005-04-22,2005-04-28
WOI,2005-04-28,2005-05-02
Steady_State,2005-05-02,2005-05-06
WOI,2005-05-06,2005-05-09
Steady_State,2005-05-09,2005-05-12
WOI,2005-05-12,2005-05-13
Steady_State,2005-05-13,2005-05-16
WOI,2005-05-16,2005-05-18
Steady_State,2005-05-18,2005-05-19
WOI,2005-05-19,2005-05-20
Steady_State,2005-05-20,2005-05-23
WOI,2005-05-23,2005-05-24
Steady_State,2005-05-24,2005-05-30
Inflation,2005-05-30,2005-05-31
WOI,2005-05-31,2005-06-03
Steady_State,2005-06-03,2005-06-23
WOI,2005-06-23,2005-06-24
Steady_State,2005-06-24,2005-06-28
WOI,2005-06-28,2005-06-29
Steady_State,2005-06-29,2005-06-30
WOI,2005-06-30,2005-07-01
Steady_State,2005-07-01,2005-07-04
Inflation,2005-07-04,2005-07-05
WOI,2005-07-05,2005-07-07
