,WOI,Steady_State,Inflation,Crisis
Technology,4.668259940419507,31.40309918744684,-50.70107510405346,-54.35909775311188
Financials,-7.1281094346363165,20.689896619256427,34.92565160079939,-41.32545192565165
Energy,2.104553477643999,22.468366623131473,-43.52866220082913,-84.04866104522449
Health Care,-0.4630750524653028,25.927242855503273,28.92594945551848,-42.34118735365131
Industrials,2.467050436775529,24.651380409284478,59.28455804805493,-45.452418406887766
Consumer Discretionary,0.6346383089142742,27.856962924078026,-30.706750431355278,-34.357666807520786
Consumer Staples,7.28373907388976,18.456339271507264,24.866002800916597,-34.66492694727068
Utilities,11.595436701104914,20.895059210671675,83.99096840348672,-68.39223099656229
Real Estate,6.450903446191626,25.803095464828075,85.70524883791121,-111.02819252267915
Materials,1.12979766502222,26.112477142898076,67.09349013687377,-53.0446111329452
Communication Services,11.479043376454836,33.335430963923635,-29.681003766228294,-47.22236226193424
