,XLK,XLF,XLE,XLV,XLI,XLY,XLP,XLU,XLRE,XLB,XLC
2021-01-04,0.0,0.0,0.0,0.3860958858792155,0.0,0.0,0.33399140515510045,0.1646462991248018,0.11526640984088295,0.0,0.0
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.8963953568258849,0.10360464317411511,0.0,0.0,0.0
2021-01-06,0.0,0.0,0.0,0.10654956571546942,0.0,0.0,0.8934504342845306,0.0,0.0,0.0,0.0
2021-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999977,0.0,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.3495416899208489,0.0,0.09363727857490774,0.5036329429847711,0.053188088519472355,0.0,0.0,0.0
2021-01-12,0.0,0.0,0.0,0.1640328715114886,0.0,0.0,0.51826103552383,0.31770609296468144,0.0,0.0,0.0
2021-01-13,0.0,0.0,0.0,0.11884888755728668,0.0,0.14331972990083758,0.4933213734559017,0.24451000908597417,0.0,0.0,0.0
2021-01-14,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,0.0,0.0
2021-01-15,0.0,0.0,0.0,0.07451079177558179,0.0,0.0,0.6971014409793689,0.22838776724504933,0.0,0.0,0.0
2021-01-19,0.0,0.0,0.0,0.34490367565428803,0.0,0.09716694550672991,0.4586885248130524,0.09924085402593118,0.0,0.0,0.0
2021-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.8422083870048004,0.15779161299525732,0.0,0.0,0.0
2021-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.6566595299573997,0.34334047004260027,0.0,0.0,0.0
2021-01-22,0.0,0.0,0.0,0.03562511724920679,0.0,0.0,0.7929452957444469,0.17142958700634628,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.8422083870047589,0.1577916129952416,0.0,0.0,0.0
2021-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.7747785639338048,0.22522143606619516,0.0,0.0,0.0
2021-01-27,0.0,0.0,0.0,0.0647507720896903,0.0,0.0,0.8417816139140655,0.0,0.0,0.0,0.09346761399624427
2021-01-28,0.0,0.0,0.0,0.4829425859573251,0.0,0.0,0.5170574140426718,0.0,0.0,0.0,0.0
2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.9982775777500026,0.0,0.0,0.0017224222499972201,0.0
2021-02-01,0.0,0.0,0.0,0.06724500948781295,0.0,0.0,0.6139731952507923,0.31878179526139566,0.0,0.0,0.0
2021-02-02,0.0,0.0,0.0,0.040279446563609884,0.0,0.05532034367987858,0.8798998034223594,0.0,0.0,0.0,0.024500406334152527
2021-02-03,0.0,0.0,0.0,0.21347574135243683,0.0,0.0,0.6955658942488564,0.0909583643987216,0.0,0.0,0.0
2021-02-04,0.0,0.0,0.0,0.3526683756809915,0.0,0.19422903733202726,0.25398617144224356,0.19911641554473616,0.0,0.0,0.0
