,XLK,XLF,XLE,XLV,XLI,XLY,XLP,XLU,XLRE,XLB,XLC
2021-01-04,0.9999999999999982,5.967448757360206e-16,0.0,1.1796119636642269e-16,3.469446951953608e-17,0.0,1.3877787807814432e-17,1.8214596497756442e-16,2.532696274926134e-16,0.0,4.4408920985006183e-16
2021-01-05,0.9999999999999407,0.0,0.0,0.0,0.0,9.04831765069484e-15,0.0,0.0,0.0,2.3432644713494227e-14,2.6791069362985257e-14
2021-01-06,0.9999999999999842,0.0,0.0,0.0,0.0,2.2204460492503012e-15,0.0,0.0,0.0,7.740336149808472e-15,5.859895901849623e-15
2021-01-07,0.6671003180084377,0.0,0.0,0.0,0.0,0.23701820477848845,0.0,0.0,0.0,0.09588147721306951,4.194744324028489e-15
2021-01-08,0.6036688077663735,1.0681410725527558e-14,1.5860929106560645e-14,2.8131997057386315e-15,6.877473850835335e-15,0.3963311922335765,1.3684596533203523e-15,4.5645250274814726e-15,7.670147611666575e-15,0.0,0.0
2021-01-11,0.26924003075912356,6.827980021661797e-15,7.929041537929424e-15,2.1988704260177987e-15,3.2798742020944452e-15,0.7307599692408497,8.081642993706756e-16,2.1822279226701466e-15,3.5118934670063373e-15,0.0,0.0
2021-01-12,0.4177879125805417,0.0,0.0,0.0,0.0,0.5822120874193847,0.0,0.0,0.0,5.19560455314118e-14,2.1727425089135627e-14
2021-01-13,4.3021142204224757e-16,0.0,1.1622647289044593e-16,0.0,0.0,0.9999999999999976,0.0,0.0,3.0010716134398723e-16,5.724587470723456e-16,9.992007221626395e-16
2021-01-14,0.1318383862160886,1.0282817349341007e-14,1.1703284825622845e-14,2.1667238316035877e-15,7.227345891896768e-15,0.868161613783869,1.2222211090428703e-15,3.694717058341672e-15,6.198329609990808e-15,0.0,0.0
2021-01-15,0.05403307965938376,0.0,0.0,0.0,0.0,0.9459669203405745,0.0,0.0,0.0,4.1854269616084515e-14,0.0
2021-01-19,5.4761750689633656e-14,8.671882656407712e-15,1.6001089342409428e-14,2.570860191397525e-15,7.830541770558995e-15,0.9999999999998932,1.8561541192951094e-15,5.8252014323298855e-15,9.235667786100152e-15,0.0,0.0
2021-01-20,0.028530356402538256,7.299879017236078e-15,8.670690034018088e-15,1.7360787286923666e-15,5.007008262863796e-15,0.97146964359743,1.4940305936849843e-15,2.856655884064729e-15,4.688415454478939e-15,0.0,0.0
2021-01-21,0.0,0.0,0.0,0.0,0.0,0.9999999999999458,0.0,0.0,0.0,3.692705863311629e-14,1.7362847271050922e-14
2021-01-22,0.031593410839602876,3.1710745140855694e-15,6.252810769158335e-15,1.6318326898079154e-15,2.5471161638201684e-15,0.9684065891603789,2.970713952610251e-17,1.808666064140299e-15,2.5630539357557053e-15,0.0,0.0
2021-01-25,6.750155989720761e-14,9.575673587391705e-15,1.3697376566312482e-14,2.373101715136205e-15,6.7480743215495895e-15,0.999999999999885,1.4432899320126629e-15,5.499073418846323e-15,8.27810042736109e-15,0.0,0.0
2021-01-26,0.0,0.0,0.0,0.0,0.0,0.9999999999999787,0.0,0.0,0.0,1.8623991238086603e-14,2.6229018956768763e-15
2021-01-27,0.02903591607252881,0.0,0.0,0.0,0.0,0.9709640839274672,0.0,0.0,0.0,3.905465631882131e-15,0.0
2021-01-28,0.13630434616014153,6.746610648616837e-15,1.2266229698631845e-14,1.3419170288852915e-15,5.258597376989126e-15,0.8636956538398187,2.9685455482652727e-16,4.512828912644981e-15,5.912046026346131e-15,0.0,3.224037790211479e-15
2021-01-29,0.10020610185762192,0.0,0.0,0.0,0.0,0.899793898142372,0.0,0.0,0.0,6.261951948725067e-15,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.9999999999999525,0.0,0.0,0.0,3.6096126088123685e-14,1.1345091532887779e-14
2021-02-02,0.38796157713526075,0.0,4.072331122491324e-16,3.101394195712667e-16,4.825174006010944e-16,0.6120384228647375,0.0,0.0,2.6607337752330915e-16,0.0,2.1101623595177975e-16
2021-02-03,0.16956560767675238,0.0,0.0,0.0,0.0,0.8304343923232346,1.0671259882688333e-16,0.0,0.0,1.1883452121635724e-14,9.638286262852792e-16
2021-02-04,0.12575214681050653,0.0,0.0,0.0,0.0,0.8742478531894612,0.0,0.0,0.0,3.216020115145805e-14,0.0
2021-02-05,0.18291875209010028,0.0,0.0,0.0,0.0,0.8170812479098977,0.0,3.7746498635082753e-16,0.0,5.96473825192899e-16,1.0077659193252742e-15
2021-02-08,2.2204460492503024e-15,0.0,0.0,0.0,0.0,0.9999999999999951,0.0,0.0,0.0,2.75821032680311e-15,0.0
2021-02-09,7.105427357600967e-15,1.5274240205975712e-15,3.712308238590349e-15,3.608224830031741e-16,1.3704315460216709e-15,0.9999999999999793,2.567390744445662e-16,5.34294830600854e-16,2.3592239273284462e-15,0.0,3.6637359812629984e-15
2021-02-10,0.0142050305074271,3.826671238996825e-15,5.400905688391453e-15,3.61967671547861e-16,1.5915816841543963e-15,0.9857949694925539,2.8830968645462756e-16,1.6101554226217884e-15,3.2857288938259206e-15,0.0,2.649227679677576e-15
2021-02-11,0.17010284041386672,4.935830390240246e-17,1.3155438110395954e-15,1.3345173490580918e-16,5.625654022484146e-16,0.5223976227915695,0.0,8.822695178600769e-18,5.674239832338653e-16,0.0,0.3074995367945611
2021-02-12,0.5478380687453044,0.0,0.0,0.0,0.0,0.37116377380394,0.0,0.0,0.0,5.574235734454008e-15,0.08099815745075023
2021-02-16,0.6368763966529573,0.0,0.0,0.0,0.0,0.31736905061139054,0.0,0.0,0.0,1.4030172423157126e-14,0.04575455273563814
2021-02-17,0.39758964871874614,0.0,0.0,0.0,0.0,0.2743892382923236,0.0,0.0,0.0,2.0661288435349787e-14,0.3280211129889096
2021-02-18,0.26812624659677475,1.9836730236801734e-15,3.2236261321991326e-15,4.699923244100431e-16,3.1227860127955613e-16,0.5143557469992913,5.290599552285845e-16,5.702810253649516e-16,2.648083549924074e-15,0.0,0.21751800640392413
2021-02-19,0.07043915175944762,5.6504449827843156e-15,8.073277696319747e-15,2.2457858869003392e-15,3.407142596485326e-15,0.6954220064494208,1.4454312313033409e-15,2.9723605846597003e-15,4.371899570880804e-15,0.0,0.23413884179110345
2021-02-22,0.36721040900767443,0.0,0.0,0.0,0.0,0.4586805760079219,0.0,0.0,0.0,8.876078583068434e-15,0.174109014984395
2021-02-23,0.23241718368138603,1.2092530346204415e-15,0.0,0.0,0.0,0.14629696406369325,0.0,0.0,0.0,2.5796151239404395e-15,0.621285852254917
2021-02-24,0.1447764083913263,0.0,0.0,0.0,0.0,8.372209175933038e-16,6.025453573588171e-17,8.933148274922724e-17,0.0,0.005154724995466946,0.8500688666132058
2021-02-25,0.30246494586456135,1.7229734349324954e-15,3.572432605812581e-15,1.8138024719324686e-16,1.5336852881436824e-15,4.2346903978210393e-16,1.3188641801928358e-16,2.384533271792416e-15,3.0618072638897986e-15,0.13882590897767755,0.558709145157748
2021-02-26,0.00250593472227766,0.0,0.0,3.2715800554749815e-16,0.0,3.4196278621278757e-15,0.0,0.0,0.0,0.18930175000251787,0.8081923152752007
2021-03-01,0.20979878670720795,1.0257907804428444e-16,0.0,0.0,0.0,0.0,0.0,3.635736460158566e-16,1.1635657715114394e-15,0.11471474857593493,0.6754864647168555
2021-03-02,0.14092511218971762,1.4330069520330343e-15,3.189587266180789e-16,0.0,0.0,0.0,0.0,1.6190526566997576e-16,8.167091677425953e-16,0.1965300573448435,0.6625448304654361
2021-03-03,0.0,3.040773695136619e-15,4.625534835385836e-15,7.328357875837472e-16,1.806127767883488e-15,0.0,4.392348501441474e-16,2.1672387073230348e-15,4.1230980442076246e-15,0.2534197835695712,0.746580216430412
2021-03-04,0.0,0.0,0.0,3.783954422934473e-16,0.0,1.1973687924934274e-15,0.0,0.0,0.0,0.13757263992644053,0.862427360073558
2021-03-05,0.0,1.149136908948012e-16,1.5491793784642473e-16,0.0,0.0,0.0,1.0549826098998666e-16,8.80706283942809e-16,7.929829587411622e-16,0.0,0.999999999999998
2021-03-08,0.0,3.4477809905386833e-16,6.309639633617212e-16,7.000486899849325e-17,0.0,0.0,3.309734354601805e-17,3.918975198192608e-16,2.0881558807371723e-15,0.005490886464078921,0.9945091135359175
2021-03-09,8.792364082458778e-16,3.0140125447355058e-15,4.4043538761243074e-15,1.3021799645214726e-15,1.643141499030314e-15,0.0,1.118953508034433e-15,3.988059244914946e-15,5.4714684873766904e-15,0.18241170481862617,0.8175882951813519
2021-03-10,3.478371520914723e-16,3.5031701039315465e-16,0.0,4.99237973276423e-17,0.0,3.0781738879214974e-16,0.0,0.0,0.0,0.3122833410192895,0.6877166589807095
2021-03-11,0.0,0.0,0.0,0.0,0.0,1.8442321726579923e-15,0.0,0.0,0.0,0.3919823490033375,0.6080176509966606
2021-03-12,0.0,0.0,0.0,1.0614272422020383e-16,0.0,1.06547856198892e-15,9.006237651589911e-17,0.0,0.0,0.34867183821937275,0.651328161780626
2021-03-15,1.547835281648334e-15,2.717986187696767e-16,0.0,0.0,2.5918254922976054e-16,0.0,0.0,9.492663446843525e-16,1.3172926722919427e-15,0.3465148103997508,0.6534851896002449
2021-03-16,4.900219829755345e-16,1.089333321789172e-15,1.6874634603114913e-16,0.0,0.0,0.07718025497376545,0.0,0.0,0.0,0.33009299845841195,0.5927267465678209
2021-03-17,6.414191442153236e-16,1.7961897917860113e-16,0.0,0.0,3.021573003377904e-16,0.26849187606573605,0.0,1.0923310844874885e-15,0.0,0.16322717481794444,0.5682809491163173
2021-03-18,2.930994042120811e-16,0.0,0.0,0.0,4.4076097971118487e-17,0.3929089339747309,1.1219223281323196e-16,1.0009211110250089e-15,4.565681612958106e-16,0.11101731223853774,0.4960737537867296
2021-03-19,1.0034029608283183e-15,0.0,2.566822702470459e-16,5.576112396597911e-16,2.821198031006373e-17,0.4064171403515934,2.4393651365891793e-16,1.626381386329709e-15,1.0007583928652182e-15,0.20361950273858026,0.38996335690982153
2021-03-22,9.947544324179816e-17,0.0,3.4663235061359923e-16,5.088987013222325e-16,0.0,0.35610977241574426,4.097501206006822e-17,1.0637079220702566e-15,8.966649957148564e-17,0.19472044903313337,0.4491697785511203
2021-03-23,0.0,0.0,2.4539986495464067e-16,0.0,0.004925460545561106,0.24650156546176766,3.359670603286239e-16,0.0,0.0,0.19666393024237988,0.5519090437502908
2021-03-24,6.318400737580956e-17,0.0,0.0,0.0,0.042585669992740126,0.11278910887264985,8.689560633973552e-17,3.8352077159867714e-16,0.0,0.2939743057806958,0.5506509153539139
2021-03-25,2.0245143799125535e-17,9.818277919376265e-17,0.0,0.0,0.06082721165348603,0.07105992471858773,2.1020173083178277e-17,0.0,3.068253979545229e-17,0.3516635274529292,0.516449336174997
2021-03-26,2.337820020846923e-16,0.0,0.0,1.9296925609051965e-17,4.4923000257566124e-17,0.007801943444936803,0.0,1.4968454112937397e-16,0.0,0.39744668560488117,0.5947513709501816
2021-03-29,0.0,7.478598890922638e-17,0.0,0.0,0.0,0.07574505049799737,1.8958472282327737e-16,0.0,2.2263675222975114e-16,0.4431883490694593,0.4810666004325429
2021-03-30,0.0,0.0,2.531978505646706e-16,0.0,1.9162108408672269e-16,0.0,1.0273749760658278e-16,1.4549408379439364e-16,2.193808862690238e-17,0.42826572242585004,0.5717342775741492
2021-03-31,3.9723571573549605e-16,0.0,0.0,1.919186862178721e-16,0.004647505628196659,0.10293469757306599,7.616907128807852e-17,8.345219214542436e-16,8.988019285106103e-18,0.3867944318948873,0.5056233649038486
2021-04-01,1.5227580225629402e-16,0.0,2.0375041597825054e-16,4.821437260368473e-17,0.0,0.26342367275342243,0.0,0.0,6.795396789828114e-16,0.3328693351606188,0.4037069920859578
2021-04-05,0.0,9.660565282283834e-17,0.0,0.0,2.9154532944404833e-16,0.2543505062009635,6.556195662778048e-18,0.0,2.377147158896234e-16,0.32489301034104884,0.420756483457987
2021-04-06,9.605117354755597e-17,0.0,4.065833340416911e-16,0.0,6.144378683168801e-16,0.3286960686209872,1.1589199224348712e-17,0.0,0.0,0.2829131007409858,0.3883908306380258
2021-04-07,1.5383470307771814e-16,1.925701443739322e-16,5.617090342238444e-18,0.0,0.0,0.3012404435217653,2.0445007450125283e-16,1.7875022385647148e-16,6.156792129659333e-17,0.2966327923138849,0.40212676416434906
2021-04-08,0.0,2.422441955661592e-17,0.0,0.0,5.076823831457936e-17,0.29297241416902003,0.0,2.5236907725979453e-16,3.7080505983929424e-17,0.2648002337525732,0.44222735207840647
2021-04-09,1.1872163686933946e-16,0.0,0.0,3.9936089977727324e-16,0.06447664710414716,0.2971875446709428,0.0,0.0,2.20797091569308e-16,0.18726488093655536,0.4510709272883539
2021-04-12,0.0,7.070446160239979e-16,0.0,3.3582470079912596e-17,0.09501106338902622,0.3270695326514178,2.917408364838109e-17,0.0,0.0,0.13740368783670945,0.44051571612284585
2021-04-13,6.739804523849371e-16,0.0,2.8739266119404436e-16,0.0,0.2007996081294763,0.35784577997651174,0.0,0.0,1.0029250538738634e-15,0.0,0.44135461189401
2021-04-14,0.0,2.9598994618479824e-16,0.0,3.106906410355508e-16,0.24252617753885541,0.3516894132671402,1.4110865641241947e-16,0.0,1.174788233994274e-16,2.3946079238390847e-16,0.4057844091940033
2021-04-15,0.0,6.538184377804985e-16,0.0,0.0,0.24031111633607424,0.25272069922417384,0.0,2.3423663402480092e-17,0.0,0.0838322699044864,0.4231359145352648
2021-04-16,2.031556281487213e-16,0.0,4.683383006547345e-16,0.0,0.0790541821521548,0.25422655831250773,1.2843692350561803e-16,5.267017185493732e-16,1.7629115080758828e-16,0.297238717527524,0.36948054200781205
2021-04-19,0.0,0.0,0.0,1.3286869497214356e-16,0.07051772665117893,0.2043724069916698,4.7060116730774044e-17,4.348840461036123e-17,3.3798115429584936e-16,0.35637635521824873,0.368733511138902
2021-04-20,0.0,0.0,0.0,1.7546043387313886e-16,0.051424690104316044,0.14357970193143202,0.0,1.0091586697372625e-16,0.0,0.37909926650882175,0.42589634145543004
2021-04-21,2.4442001892866273e-16,0.0,3.711064816495506e-16,4.014076679965942e-17,0.07718047347658515,0.11589708787720147,3.3707253195668057e-17,0.0,8.276423506443669e-17,0.3879913607248615,0.41893107792135104
